seq,word,symbol,tense,paraphrase
01/51,slide,英[slaid],,v.滑动n.滑坡；幻灯片
02/51,restore,英[ri'stɒ:],,v.恢复；归还；修复
03/51,respond,英[ri'spɒnd],,v.答复；回答；响应
04/51,recall,英[ri'kɒ:l],,v.&n.回忆；召回
05/51,ruin,英[ruin],,v.毁灭；破产n.废墟
06/51,obtain,英[әb'tein],,v.获得；得到
07/51,acquire,英[ә'kwaiә],,v.获得；学到；并购
08/51,gain,英[gein],,v.获得；受益n.收益
09/51,concentrate,英['kɒnsәntreit],,v.集中；专心；浓缩n.浓缩
10/51,calculate,英['kælkjuleit],,v.计算；预测
11/51,strengthen,英['streŋθәn],,v.加强；巩固；改善
12/51,pretend,英[pri'tend],,v.假装；借口；装扮
13/51,examine,英[ig'zæmin],,v.检查；审查；考试
14/51,ease,英[i:z],,v.&n.减轻；缓和；放松
15/51,reduce,英[ri'dju:s],,v.减少；降低；简化
16/51,establish,英[i'stæbliʃ],,v.建立；创办
17/51,identify,英[ai'dentifai],,v.识别；确定；表明身份
18/51,deliver,英[di'livә],,v.交付；发表；递送
19/51,conclude,英[kәn'klu:d],,v.推断；决定；作结论
20/51,proceed,英[prәu'si:d],,v.继续进行；前进；开始
21/51,prohibit,英[prә'hibit],,v.禁止；阻止
22/51,refresh,英[ri'freʃ],,v.更新；使恢复；刷新
23/51,chew,英[tʃu:],,v.咀嚼；深思
24/51,illustrate,英['ilәstreit],,v.说明；举例说明；加插图
25/51,behave,英[bi'heiv],,v.举止；表现；做出反应
26/51,reject,英[ri'dʒekt],,v.拒绝；丢弃n.次品
27/51,qualify,英['kwɒlifai],,v.具有资格；使合格
28/51,gather,英['gæðә],,v.聚集；积聚；收集
29/51,involve,英[in'vɒlv],,v.使卷入；涉及；参与
30/51,resolve,英[ri'zɒlv],,v.解决；下决心；分解
31/51,determine,英[di'tә:min],,v.下决心；确定；判定
32/51,explore,英[ik'splɒ:],,v.勘探；探测；探索
33/51,roast,英[rәust],,v.烤；炙；烘
34/51,approach,英[ә'prәutʃ],,v.接近n.方法；途径
35/51,threaten,英['θretn],,v.恐吓；城胁
36/51,weep,英[wi:p],,v.流泪n.哭泣
37/51,pack,英[pæk],,v.捆扎；塞满n.包裹
38/51,quit,英[kwit],,v.离开；放弃；辞职
39/51,ought,英[ˈɔːt],,v.应该，应当
40/51,link,英[liŋk],,v.连接；联合n.环节
41/51,combine,英[kәm'bain],,v.联合；结合
42/51,flow,英[flәu],,v.流；流动n.流量
43/51,demonstrate,英['demәnstreit],,v.证明；演示；论证
44/51,bury,英['beri],,v.埋葬；埋藏
45/51,wander,英['wɒndә],,v.徘徊；闲逛；漫步
46/51,jog,英[dʒɒg],,v.慢跑
47/51,dismiss,英[dis'mis],,v.解散；解雇；开除
48/51,represent,英[.repri'zent],,v.代表；表示
49/51,polish,英['pɒliʃ],,v.磨光；润色n.抛光剂
50/51,clap,英[klæp],,v.&n.鼓掌；拍手
51/51,accompany,英[ә'kʌmpәni],,v.陪伴；伴随；伴奏
