seq,word,symbol,tense,paraphrase
01/51,rent,英[rent],,v.租赁n.租金
02/51,compose,英[kәm'pәuz],,v.组成；创作
03/51,appeal,英[ә'pi:l],,v.&n.呼吁；申诉
04/51,compete,英[kәm'pi:t],,v.比赛；竞争；对抗
05/51,argue,英['ɑ:gju],,v.辩论；争论
06/51,sneeze,英[sni:z],,v.打喷嚏n.喷嚏
07/51,subscribe,英[sәb'skraib],,v.订阅；捐助
08/51,bark,英[bɑ:k],,v.狗叫n.狗吠声
09/51,insist,英[in'sist],,v.坚持；要求
10/51,skip,英[skip],,v.略过；跳过n.跳跃
11/51,apply,英[ә'plai],,v.申请；应用；适用
12/51,ache,英[eik],,v.&n.疼痛
13/51,apologise,英[ә'pɔlәdʒaiz],(apologize),v.道歉
14/51,abuse,英[ә'bju:s.ә'bju:z],,v.&n.滥用；虐待；辱骂
15/51,comprise,英[kәm'praiz],,v.包括；由……组成
16/51,surround,英[sә'raund],,V.包围；环绕a.环绕立体声的
17/51,adopt,英[ә'dɒpt],,v.采用；选定；收养
18/51,generate,英['dʒenәreit],,V.造成；产生；创造
19/51,acknowledge,英[әk'nɒlidʒ],,V.承认；感谢
20/51,motivate,英['mәutiveit],,V.促动；激励；使有动机
21/51,urge,英[ә:dʒ],,V.激励；催促n.强烈欲望
22/51,attain,英[ә'tein],,V.达到；实现；获得
23/51,bother,英['bɒðә],,v.打扰；麻烦n.烦恼
24/51,abandon,英[ә'bændәn],,V.抛弃；放弃
25/51,analyse,英['ænәlaiz],(analyze),V.分析.；分解
26/51,transform,英[træns'fɒ:m],,V.转换；转变；彻底改变
27/51,vary,英['vєәri],,V.变化；改变；使多样化
28/51,advertise,英['ædvәtaiz],,v.做广告；通告
29/51,inspire,英[in'spaiә],,v.鼓舞，激励；激起（情感）
30/51,applaud,英[ә'plɒ:d],,v.鼓掌欢迎；夸赞
31/51,assume,英[ә'sju:m],,V.假定；承担；假装
32/51,found,英[faund],,v.建立；创立
33/51,interpret,英[in'tә:prit],,v.解释；说明；口译
34/51,accuse,英[ә'kju:z],,v.控告；指责；指控
35/51,assign,英[ә'sain],,V.分配；分派
36/51,assess,英[ә'ses],,V.评定；估价
37/51,attempt,英[ә'tempt],,V.&n.试图；尝试
38/51,admire,英[әd'maiә],,v.钦佩；称赞；羡慕
39/51,replace,英[ri'pleis],,v.取代；替换；接替
40/51,tolerate,英['tɒlәreit],,v.容忍；忍受；经受（困难)
41/51,delete,英[di'li:t],,V.删除
42/51,bleed,英[bli:d],,V.流血；榨取（钱财）
43/51,astonish,英[ә'stɒniʃ],,v.使惊讶，使吃惊
44/51,annoy,英[ә'nɒi],,V.使恼怒；骚扰；打搅
45/51,adapt,英[ә'dæpt],,V.适应；改编
46/51,award,英[ә'wɒ:d],,V.授予；奖励n.奖品
47/51,donate,英['dәuneit],,v.捐赠；赠予
48/51,adjust,英[ә'dʒʌst],,V.调节；（使）适应；校准
49/51,appreciate,英[ә'pri:ʃieit],,V.感激；欣赏，赏识
50/51,amuse,英[ә'mju:z],,v.娱乐；消遣；逗乐
51/51,absorb,英[әb'sɒ:b],,v.吸收；吸引；使全神贯注
