seq,word,symbol,tense,paraphrase
01/51,town,英［taon］美［taon］,,n.城镇；商业中心区
02/51,passenger,英「paesmdsMr)］,,n.乘客，旅客
03/51,degree,英［digri:］美［di'gri］,,n.度数；程度；学位
04/51,programme,英「pnognem］,(AEprogram),n.程序v.计划
05/51,size,英［saiz］美［saiz］,,n.尺寸；大小
06/51,plenty,英「plenti］美「plmi］,,n.充足；大量
07/51,pet,英［pet］美［pet］,,n.宠物
08/51,picnic,英「piknik］美［pikmk］,,n.&v.野餐
09/51,birth,英［b3：0］美［b3r0］,,n.出生；诞生
10/51,tape,英［teip］美［tep］,,n.磁带；录音带
11/51,village,英［¥11心］美［51生］,,n.乡村；村庄
12/51,mistake,英［mi'steik］美［mi'stek］,,n.错误v.弄错(mistook，mistaken)
13/51,university,英Lju:ni'v3：snti］美［juni'v3rsnti］,,n.大学
14/51,college,英［如岫］美「kahd3］,,n.大学；学院
15/51,unit,英［junit］,,n.单元；单位
16/51,knife,英［naif］美［naif］,(pl.knives),n.刀，匕首v.切开
17/51,island,英「aibnd］美「aibnd］,,n.岛，岛屿
18/51,road,英［rood］美［rood］,,n.道路；公路
19/51,Gennany,英［也3：1口加］美「gmnni］,,n.德国；德意志
20/51,drop,英［drop］美［drop］,,n.滴；水滴v.落下
21/51,enemy,英［enomi］美［'Enomi］,,n.敌人；敌军
22/51,bottom,英「bDtom］,,n.底部；底层
23/51,geography,美「batom］,,n.地理；地理学
24/51,ground,英［graund］,,n.地面；场地；理由
25/51,earth,英［3：0］美［3F0］,,n.地球；土地
26/51,area,英「eorio］美［'erb］,,n.地区；区域；面积
27/51,earthquake,英「3：0kweik］,,n.地震
28/51,address,英［g'dres］,,n.地址v.写地址；演说
29/51,fridge,美［o'dr£s;'edres］,(refrigerato),n.电冰箱；冷冻机
30/51,television,xxx,,n.电视机
31/51,movie,英「mu:vi］美「muvi］,,n.电影；电影院
32/51,top,英Op］美［tap］,,n.顶部；顶端；上部
33/51,thing,英付可］美付可］,,n.东西；事情
34/51,hole,英［hool］美［hool］,,n.洞，洞穴；裂口
35/51,jacket,英［d3aM,,n.短上衣；夹克衫
36/51,team,英美［tim］,,团队，队伍；小组
37/51,dialogue,英［daelDg］,,n.&v.对话;交谈，谈话
38/51,ton,英［tAn］美［tAn］,,n.（重量单位）吨;吨位
39/51,Russia,英［rg］美［Tg］,,n.俄罗斯
40/51,son,英回闻美国明,,儿子；孩子
41/51,invention,^［m'venfh］,,n.发明；创造
42/51,fever,英［丘vn(r)］美］行⑹,,发烧；发热
43/51,discovery,英［di'skAVori］,,n.发现；发觉
44/51,pronunciation,美［di'skAvori］,,n.发音
45/51,development,美［div2bpmnnt］,,n.发展；开发
46/51,France,英［什a:ns］美［fhens］,,n.法国，法兰西
47/51,law,英［丘］美［⑸,,n.法律；定律
48/51,restaurant,英「meOnd,,n.饭店，餐馆
49/51,method,英［iestront］,,n.方法，办法
50/51,direction,英「meOnd,,n.方向；趋向
51/51,visitor,H［'restrant］,,n.访问者；参观者
