seq,word,symbol,tense,paraphrase
01/52,community,^［karnju:n9ti］,,n.社区；社团
02/52,gentleman,^［djentlman］,,n.先生；绅士；
03/52,life,英［laif］美口aif］,（复lives）,n.生命；生活
04/52,business,英「biznos］,,n.商业；生意；事情
05/52,noise,英［noiz］美［noiz］,,n.噪音；杂音；喧闹声
06/52,rope,英gup］美［roop］,,n.绳子
07/52,line,英［lain］美［lain］,,n.线条；行
08/52,Christmas,英「knsmos］,,n.圣诞节
09/52,victory,美「knsmos］,,n.胜利
10/52,poem,英「viktori］,,n.诗歌
11/52,lion,英「匕1。川美「匕1。川,,n.狮子
12/52,December,英［di'sembo（r）］,,n.十二月
13/52,June,英版11；川美历阿,,n.六月
14/52,September,美［s£p&mba］,,n.九月
15/52,May,英［mei］美［me］,,n.五月
16/52,August,英［0；'gASt］,,n.八月
17/52,March,英［ma:5美［martn,,n.三月
18/52,July,英［dw'lai］,,n.七月
19/52,February,美口3。’喇,,n.二月
20/52,April,英［eipnl］,,n.四月
21/52,January,英「fbbruori^［dsaenjuari］,,n.一月
22/52,November,美「fbbrueri］^［naovemb9（r］,,n.十一月
23/52,October,英［Dk'tgobo（r）］,,n.十月
24/52,stone,英［stoun］美［stoun］,,n.石头；石块
25/52,period,英「period］,,n.时期，时代
26/52,lab,英［laeb］美［曲b］,(=laboratory),n.实验室
27/52,century,英「sen^bri］,,n.世纪；百年
28/52,world,英［W3；ld］美［W3rld］,,n.世界；世间；天下
29/52,market,美「markit］,,n.市场，集市
30/52,fact,英［设kt］美［施kt］,,n.事实；真相
31/52,spoon,英［spu:川美［spun］,,n.汤匙，调羹
32/52,glove,英［gLw］美［gLw］,,n.手套
33/52,handbag,英「haendbaeg］,,n.手提包；手袋
34/52,finger,英［fiijgMr）］,,n.手指
35/52,capital,英］kaepitl］,,n.首都；资本；大写字母
36/52,mouse,美「刖g》］,（pl.mice）,n.老鼠；鼠标
37/52,number,英「nAmb0（r）］,,n.数字；数量
38/52,pool,英［pu:l］美［pul］,,n.水池；池子
39/52,level,英「levl］美［bv刈,,n.水平线；水平
40/52,voice,英［vois］美［vois］,,n.声音；嗓音；愿望
41/52,thought,英付刈美国刈,,n.思想；思考；想法
42/52,quarter,英「kwo:t9（r）］,,n.四分之一；一刻钟
43/52,speed,英［spi:d］美［spid］,,n.速度v.加速
44/52,granddaughter,英］graeiKh:t0（r）］,,n.孙女
45/52,grandson,英「g侬nsAn］,,n.孙子
46/52,tower,英「tag（r）］,,n.塔；塔楼
47/52,Pacific,英［po'sifik］,,n.太平洋
48/52,conversation,美［kanvor'^［.knnva'seifh］,,n.交谈；会话；会谈
49/52,sugar,英［丁吟⑹,,n.糖
50/52,discussion,英［di'skAjn］,,n.讨论，议论
51/52,sky,英［skai］美［skai］,,n.天空；星空
52/52,air,英心⑹美㈤,,n.空气；天空；气氛
