seq,word,symbol,tense,paraphrase
01/52,space,英回呢闻美［spes］,,n.空间；太空；空格键
02/52,pocket,英「pDkit］美「pakit］,,n.口袋a.袖珍的
03/52,chopsticks,英［gpstiks］,,n.筷子（chopstick的名词复数）
04/52,difficulty,美邛stiks］,,n.困难；麻烦
05/52,rubbish,英［dfikHti］,,n.垃圾;废物（美trash）
06/52,candle,英［'kaendl］美［'kaendl］,,n.蜡烛
07/52,basket,英「ba:skit］,,n.篮子，框子
08/52,boss,英［bDs］美［bos］,,n.老板，上司
09/52,fun,英［fXn］美［fXn］,,乐趣；娱乐活动
10/52,pear,英［ps(r)］美［per］,,n.梨子，梨树
11/52,present,英［'preznt］美［'preznt］,,n.礼物；赠品
12/52,history,英「histri］美「histori］,,n.历史；发展过程
13/52,example,英［ig'zQ：mpl］,,n.例子；榜样
14/52,pity,英「piti］美「piti］,,n.怜悯，同情；可惜
15/52,UK,英［ju:kei］美［juJkei］,,n.英国
16/52,practice,英「prsektis］,,n.练习；实践
17/52,neighbour,英［heibo（r）］美［neb》］,(AmEneighbor),n.邻居;邻国
18/52,bell,英［bel］美［bd］,,n.铃铛；钟声
19/52,leader,英⑪也⑻美「lid》］,,n.领导人；领先者
20/52,land,英［laend］美［l&nd］,,n.陆地；土地v.登岸
21/52,video,英「vidioo］,,n.录像；视频
22/52,London,英［lAndon］美［】And9n］,,n・伦敦
23/52,wheel,英［wjl］美［wil］,,n.轮子；机轮
24/52,hotel,英［h。。tel］H［hoo'nte.l,,n.旅馆，宾馆
25/52,trip,英［tnp］美［trip］,,旅行；旅程
26/52,tourist,英［'tosnst］美［'tonst］,,n.旅行者；游客
27/52,yard,英［ja:d］美［jard］,,n.码；场所；院子
28/52,ant,英［aent］美侬明,,n.蚂蚁
29/52,sale,英［sell］美［sei］,,n.售卖；出售
30/52,cartoon,英［kci:'tu:n］,,n.漫画；动画片
31/52,trade,美［kar'tun］,,n.交易，贸易v.进行交换
32/52,hat,英［haet］美［haet］,,n.（带沿的）帽子
33/52,nothing,英「11人阿美「nAgnj］,,n.没有东西；什么都没有ad.一点也不
34/52,rose,英［muz］美［rooz］,,n.玫瑰花；玫瑰红
35/52,coal,英［kool］美［koul］,,n.煤；煤块
36/52,dollar,英「dDb(r),,n.美元
37/52,gate,美「dab(r)］,,大门；登机口
38/52,metre,英［'mi:匕(r)］美,(AmEmeter),n.米
39/52,secret,英「si:krat］美［*sikrstn］,,n.秘密a.秘密的
40/52,secretary,英「sekntri］,,n.秘书；大臣
41/52,postcard,Hf'sekrsteri］,,n.明信片
42/52,model,英「mDdl］美［madl］,,n.模型；范例；模特儿
43/52,stranger,英「stremdsMr)］,,n.陌生人；异乡人
44/52,hen,英［hen］美［hen］,,n.母鸡
45/52,wood,英［wod］美［wud］,,n.木头；树木
46/52,purpose,英「P3：pos］,,n.目的；意图
47/52,brain,美「P3rpgs］,,n.大脑；头脑
48/52,ability,英©bibti］美［o'bditi］,,n.能力；才能
49/52,grade,英［greid］美［gred］,,n.年级；成绩；等级
50/52,age,英［eid］］美［edR,,n.年龄；时代
51/52,lemon,英［'leman］美［'lemsn］,,n.柠檬；柠檬黄
52/52,beef,英［bi:f］美［bif］,,n.牛肉
