seq,word,symbol,tense,paraphrase
01/52,pressure,英「prejb(r)］美［'p峥］,,n.压力；压强V.迫使
02/52,stress,英［sties］美［stirs］,,n.压力；全要性v.强调
03/52,rhyme,英［raim］美［raim］,,n.韵律；押韵；儿歌v.押韵
04/52,dentist,英「dentist］,,n.牙医；牙科诊所
05/52,tobacco,英gbaekouj,,n.烟草；抽烟
06/52,smog,英［smog］美［smag］,,n.烟雾；雾霾
07/52,extension,^［ik'stenfn］,,n.延伸；扩大;延期；分机
08/52,colour,美［ta'baekou］,(color),n.颜色v.涂色
09/52,shelter,美［ikst£qp9n］,,n.庇护（所）；掩蔽处v.保护
10/52,tear,英「同匕（叨美［旧㈣,,n.眼泪v.撕裂；扯F
11/52,saying,英［sen。］美［seiD］,,n.话；格言；谚语
12/52,wool,英［wul］美［wul］,,n.羊毛；毛线；毛织品
13/52,cabbage,英［kaeb%］美［kabid3］,,n.卷心菜；甘蓝；洋白菜
14/52,onion,英［Aiijon］美「Anjon］,,n.洋葱；葱头
15/52,oxygen,英「Dksid3on］,,n.氧；氧气
16/52,sample,英「sa:mpl］美「saempl］,,n.样本;样品v.取样
17/52,aspect,英「yspekt］美［aspekt］,,n.方面；外观；面貌
18/52,waist,英［weist］美［west］,,n.腰，腰部
19/52,herb,英［h3；b］美［(h)3rb］,,n.卓药；草本
20/52,tablet,英「I纪bl旧美［加bbt］,,n.药片；片剂；牌匾
21/52,pill,英［pH］美［pil］,,n.药丸
22/52,drug,英［drAg］美［drAgJ,,n.药物；毒品;v.用麻药；吸毒
23/52,leaf,英口美口即,,n.叶子；书的一页:金属薄片
24/52,liquid,英「likwid］美「likwid］,,n.液体a.液态的
25/52,bunch,英［bAntJ］美［bAnW,,n.花束；一群v.使成串
26/52,dozen,英「dAzn］美「dAzon］,,n.一打，十二个
27/52,episode,英「episood］,,n.插曲；片段；（电视）一集
28/52,series,英「siori:z］美［siriz］,,n.系列；连续；串联
29/52,collar,英「kDb（r）］美「kab（r）］,,n.衣领；颈圈
30/52,duty,英「dju:ti］美［duti］,,n.义务；责任；关税
31/52,agenda,英。dsendo］,,n.议程；日程表
32/52,opinion,美b*mdo］,,n.意见；看法；主张
33/52,intention,英卜口刷］,,n.意图；意向；目的
34/52,accident,美［o'pmjon］,,n.意外；事故
35/52,factor,英「能kto（r）］美［隹k6］,,n.因素；要素
36/52,shadow,英［向dou］美「Jkdou］,,n.阴影；影子；暗处
37/52,shade,英［©d］美［佗d］,,n.树荫；颜色深浅v.渐变
38/52,tone,英［toon］美［toon］,,n.音调；语气；腔调
39/52,guidance,英「gaidns］美「gaidns］,,n.引导；指导
40/52,diet,英「dai的美「daiot］,,n.（规定）饮食；食物v.节食
41/52,impression,英［im'pMi］,,n.印象；感想；意念
42/52,inch,美［im'pr怎m］,,n.英寸
43/52,eagle,英「i创美［igH］,,n.鹰;老鹰
44/52,nutrition,英［njWtnjh］美［nWtrijn］,,n.营养；营养学
45/52,mail,英［meil］美［mel］,,n.邮件；邮政v.邮寄
46/52,kindergarten,英「kmdogQ；tn］,,n.幼儿园；学前班
47/52,recreation,美［kindorgartn］,,n.娱乐；消遣
48/52,universe,英Lrekri'e币1］,,n.宇宙；世界；总体
49/52,badminton,美Lirkricjbn］,,n.羽毛球
50/52,expectation,英「ju:mv3；s］,,n.预期；期望；指望
51/52,budget,英「bAd3it］美［b\d3用,,n.预算v.做预算
52/52,ambition,英0mb巾1］,,n.雄心；抱负；野心
