seq,word,symbol,tense,paraphrase
01/51,innocent,英「inasnt］H［inas9nt］,,a.无辜的；清白的;天真无邪的
02/51,distinct,英［di'stnjkt］美［di'stqkt］,,a.清楚的；明显的；不同的
03/51,fine,英［fhin］美［自m］,,a.很好的；可以接受的;晴朗的v.&n.罚款
04/51,global,英「gbubl］美［gloubl］,,a.全球的；全世界的;全局的
05/51,overall,英［eovorbl］,,a.全部的ad.全部地;总体上n.背带裤
06/51,awesome,英［o:snm］美［osnm］,,a.了不起的;令人敬畏的；极好的
07/51,enthusiastic,英［mQju:zi'aestik］,,a.热情的;热心的:狂热的
08/51,artificial,英［tQ：ti'可1］,,a.人工的;人造的;矫揉造作的
09/51,flexible,英「fleksobl］,,a.柔韧的；易弯曲的;灵活的
10/51,commercial,英［k，m3：Jl］,,a.商业的；商务的n.商业广告
11/51,upper,英「Apn(r)］美,,a.上面的；上部的；较高的
12/51,socialist,^［saojblist］,,a.社会主义的n.社会主义者
13/51,corporate,美［soujbhst］,,a.公司的;团体的;法人的
14/51,vital,英「kopornt］,,a.至关重要的;生死攸关的；有活力的
15/51,grand,英［grand］美［graend］,,a.宏伟的；盛大的
16/51,disappointed,英Ldisogntid］,,a.失望的；沮丧的
17/51,practical,英「p侬ktikl］,,a.实际的；实用的
18/51,virtual,英［V3：UUH］,,a.实际上的；事实上的
19/51,substantial,美［sob'stae咖1］,,a.大量的；实质的；可观的
20/51,appropriate,美Gproopriot］,,a.适当的；恰当的;合适的
21/51,familiar,英［fb'milio(r)］,,a.热悉的；通晓的
22/51,digital,英［dd和I］美［ddjitl］,,a.数字的；数码的
23/51,twin,英［twin］美［twin］,,a.双胞胎的n.（复）双胞胎
24/51,sour,英「saoo(r)］美［saor］,,a.酸的；发酸的；酸痛的
25/51,subsequent,英「SAbsikwont］,,a.随后的：后来的；并发的
26/51,random,英［'random］,,a.随机的，任意的n.随机
27/51,solar,英心⑺］,,a.太阳的；日光的
28/51,greedy,英「grid］美「gridi］,,a.贪婪的；贪心的
29/51,frank,英［ft•则k］美［fr划k］,,a.坦白的；直率的
30/51,favourite,英「fbivont］(favorite),,a.最喜爱的n.特别喜爱的人（或物）
31/51,particular,英［p短tikjob(r)］,,a.特定的；特指的n.详情；细节
32/51,characteristic,英Lkaemkto'nstik］,,a.典型的；特有的n.特征；特性
33/51,decent,英［d:snt］美「disont］,,a.像样的；正派的;得体的
34/51,identical,英［ai'dentikl］,,a.完全相同的；同一的;一致的
35/51,statistic,英［sto'tistik］,,a.统计（学）的n.统计数值;统计学（statistics）
36/51,dizzy,英［dzi］美［dzi］,,a.头晕目眩的;心不在焉的
37/51,outstanding,^［aot'steendiij］,,a.杰出的；突出的
38/51,external,英［ik'st3：nl］美［ik'st3ml］,,a.外部的；外面的
39/51,overseas,英L0UV3'si：z］,,a.外国的；海外的ad.在海外
40/51,royal,英［Toi叫美「roiol］,,a.王室的；高贵的
41/51,unique,英［ju'ni:k］美［junik］,,a.唯一的；独一无二的
42/51,raw,英［口：］美T。］,,a.生的：未加工过的
43/51,bitter,英［bito(r)］美［bite］,,a.味苦的；痛苦的；令人不快的
44/51,mild,英［maild］美［maild］,,a.温和的:轻微的;味淡的
45/51,literary,英「htomri］美「htnreri］,,a.文学的；精通文学的;书面的
46/51,rare,英［reo(r)］美［rer］,,a.稀有的；稀罕的
47/51,fond,英［fbnd］美［fond］,,a.喜爱的；宠爱的
48/51,comic,英［koinik］美［kainik］,,a.喜剧的；滑稽的n.连环漫画
49/51,dramatic,英［dro'maetik］,,a.戏剧的；引人瞩目的;剧烈的
50/51,strait,英［streit］美［stret］,,a.狭窄的n.海峡；困境
51/51,fancy,英［美［,,a.想象的:花俏的n.&v.幻想
