seq,word,symbol,tense,paraphrase
01/50,effort,英「efbt］美「efbrt］,,n.努力；吃力
02/50,track,英［track］美［mek］,,n.小路；轨迹v.跟踪
03/50,basin,英「beisn］美「beson］,,n.盆子；盆地
04/50,recipe,英「resopi］美［'res邛i,,n.食谱；秘诀，处方
05/50,cuisine,［kwi'zi:n］H［kwg'zin］,,n.菜系;烹调；烹饪
06/50,belt,英［belt］美麻可,,n.带；腰带；地带
07/50,skin,英［skin］美［skin］,,n.皮肤；外皮v.剥皮
08/50,leather,英［卜加⑺］美口或今］,,n.皮革；皮衣a.皮革的
09/50,trunk,英［trAijk］美［trAijk］,,n.树干；躯干；行李箱
10/50,beer,英［bio(r)］美［bir］,,n.啤酒
11/50,preference,英「pre什nns］,,n.偏爱；倾向；优先
12/50,moment,英「mgumont］,,n.片刻；瞬间;（微信）朋友圈
13/50,frequency,H［moomont］,,n.频率；频次
14/50,pan,英［psen］美［pan］,,n.平底锅；盘子
15/50,civilian,英［so'vilion］,,n.平民；百姓a.民用的
16/50,platform,英「plaetlb:m］,,n.平台；站台;讲台；防水台
17/50,servant,英「S3；vont］美「S3rvont］,,n.仆人;公务员
18/50,wine,英［wain］美［wain］,,n.酒；葡萄酒；酒红色
19/50,habitat,英「haebitaet］,,n.栖息地；产地
20/50,origin,英「Dndsin［美［ond3in］,,n.起源；原点;出身；产地
21/50,climate,英「klaimit］美「klaimot］,,n.气候;风气；风土
22/50,gas,英［gaes］美［gaes］,,n.气体；瓦斯
23/50,petrol,英「pet喇美「patrol］,,n.汽油
24/50,organ,英「3；gon］美「argon］,,n.器官；风琴；机构
25/50,forehead,英「fb:nd］美［Whed］,,n.前额；脑门；前部
26/50,advance,英［od'va:ns］,,n.&v.提前；进展a.预先的
27/50,eve,英［i；v］美［iv］,,n.前夜；前夕
28/50,purse,英［p3；s］美［p3rs］,,n.钱包；手提袋
29/50,emphasis,英「emfbsis］,,n.强调；重点、八
30/50,youth,英［ju:即美［juO］,,n.青年；年轻人
31/50,teenager,英「tkneidsM。］,,n.青少年
32/50,hydrogen,美「tined3M,,n.氢，氢气
33/50,trend,英「haidmdjon］,,n.倾向；趋势
34/50,circumstance,英「S3；k0mstons］,,n.环境；情况；条件
35/50,emotion,英U'moojn］美［irnoojn］,,n.情绪；情感
36/50,bat,英［b&t］美［byt］,,n.球拍；蝙蝠
37/50,globe,英［gbub］美［gloub］,,n.地球；地球仪；世界
38/50,tendency,英［tendonsi］,,n.趋势；倾向
39/50,authority,英:'Onmti］美'Oorsti］,,n.权威；权利;当局；官方
40/50,crew,英［kru:］美［kru］,,n.全体船员;全体乘务员；剧组
41/50,staff,英［sta:f］美［staf］,,n.员工，工作人员
42/50,fountain,英「fhun匕n］美［fhuntn］,,n.泉；喷泉；泉水
43/50,boxing,英「bDksqj］美「baksnj］,,n.拳击
44/50,fist,英也st］美［fist］,,n.拳头
45/50,absence,英「aebsons］美「田bsons］,,n.缺乏；缺席，不在场
46/50,gap,英［g田p］美［gap］,,n.裂缝；隔阂；漏洞
47/50,fuel,英Hu；刈美［加叫,,n.燃料v.加燃料
48/50,passion,英「P到'n］美,,n.激情；热情
49/50,creature,英「kri；e（r）］美［krig］,,n.生物;动物;家畜
50/50,personality,英［p3；s，n田bti］,,n.人格；性格；个性
