seq,word,symbol,tense,paraphrase
01/51,stair,英［steo(r)］美［ster］,,n.楼梯；阶梯
02/51,deer,英［dio(r)］美［dir］,,n.鹿
03/51,route,英［ru:t］美［rut］,,n.路线；航线；路径
04/51,outline,英「aotlam］美「autjam］,,n.大纲；轮廓v.概述
05/51,camel,英「kseml］美「ksemol］,,n.骆驼
06/51,performance,英［po'fb:mons］,,n.表演；表现；执行
07/51,lawyer,英「⑸卜⑺］美［’划,,n.律师；法学家
08/51,marathon,英「maeroeon］,,n.马拉松赛跑
09/51,circus,英「S3:kos］美「S3rkos］,,n.马戏团；杂技团
10/51,satisfaction,美［sytis'ftel^bn］,,n.满足；满意
11/51,towel,英［tasl］美［tasl］,,n.毛巾；手巾
12/51,blanket,英「bl卸jkit］美「b屈冰山,,n.毛毯；毯子v.覆盖
13/51,adventure,^［od'ventf^r)］,,n.冒险；奇遇
14/51,medium,英「mi:diom］（复media）,,a.中等的n.媒介；方法
15/51,beauty,英「bju:ti］美「bjuti］,,n.美；美丽；美人
16/51,violence,英「vaiobns］,,n.暴力，暴行；激烈
17/51,riddle,英［ndl］美［ndl］,,n.谜；谜语
18/51,metre,英［'mi:to(r)］(meter),,n.米；公尺
19/51,plot,英［ph)t］美［plat］,,n.情节；阴谋v.密谋；绘制
20/51,honey,英「hAni］美［hAni］,,n.蜂蜜a.亲爱的
21/51,cotton,英［kDtn］美［katn］,,n.棉花；棉布；棉制品
22/51,panel,英「p田nl］美「p&nol］,,n.面板；控制板；专家组
23/51,bakery,英「beikori］美「bekori］,,n.面包房；烘焙
24/51,flour,英「fla8(r)］美［flaur］,,n.面粉
25/51,cheek,英皿阳美回ik］,,n.面颊；脸蛋
26/51,description,英［di'sknpjh］,,n.描写；形容
27/51,temple,英「tempi］美「饪mpol］,,n.庙宇，寺院；太阳穴
28/51,extinction,英［ik'stiqkjn］,,n.灭绝；消亡
29/51,nation,英「neijh］美［neQn］,,n.民族；国家
30/51,celebrity,英［so'lebmti］,,n.名人；名流；名声
31/51,reputation,美［sokbroti］,,n.名誉；名声；声望
32/51,evidence,英「evidons］美［Hvodons］,,n.证据；迹象v.证明
33/51,pattern,英［'peetn］美［'paetom］,,n.模式；花样；模型v.构成图案
34/51,friction,英［fikjn］美［fikjbn］,,n.磨擦；不和；争执
35/51,mushroom,^［mAfrom］,,n.蘑菇v.迅速生长；采蘑菇
36/51,target,英美「torgit］,,n.目标；对象；靶子
37/51,goal,英［goul］美［goul］,,n.目标；球门；射门
38/51,destination,英［destine加,,n.目的地；终点
39/51,witness,英「witnos］美「witnis］,,n.目击者；证人v.目击
40/51,bath,英［ba:。］美［b田。］,,n.沐浴；浴室v.洗澡
41/51,patience,英「peijhs］美「peJAns］,,n.而寸心；忍耐
42/51,man,英［msen］美［m&n］,(pl.men),n.男人；人类
43/51,physician,英［6'z美［行'zikfbn］,,n.内科医生
44/51,competence,英「kDmpitons］,,n.能力；胜任；权限
45/51,mud,英［mAd］美［mAd］,,n.泥浆v.弄脏
46/51,soil,英［soil］美［soil］,,n.泥土；土壤v.弄脏
47/51,cattle,英「kaetl］美「kaetl］,,n.牛；牲口；家畜
48/51,steak,英［steik］美［stek］,,n.牛排；肉排
49/51,jeans,英Mnz］美［dsinz］,,n.牛仔裤
50/51,button,英［bAtn］美［bAtn］,,n.按钮；纽扣v.扣紧
51/51,agriculture,英「aegnkAg(r)］,,n.农业；农耕；农学
