seq,word,symbol,tense,paraphrase
01/51,fill,英[fil],,v.装满；使充满
02/51,feed,英[fi:d],(fed，fed),v.喂养；吃东西
03/51,invite,英[in'vait],,邀请；招待
04/51,mean,英[mi:n],(meant，meant),v.意思是；用意n.平均数
05/51,grow,英[grәu],(grew，grown),v.发展；生长；种植
06/51,test,英[test],,v.&n.测试；试验
07/51,follow,英['fɒlәu],,v.&v.跟随；遵循
08/51,join,英[dʒɒin],,v.&v.加入；参加
09/51,divide,英[di'vaid],,v.&n.分开:分配
00/51,control,英[kәn'trәul],,v.&n.控制；支配
11/51,agree,英[ә'gri:],,v.同意，赞同
12/51,include,英[in'klu:d],,v.包含；包括
13/51,protect,英[prә'tekt],,v.保护；保卫
14/51,compare,英[kәm'pєә],,v.比较；对照
15/51,avoid,英[ә'vɒid],,v.避开；预防
16/51,express,英[ik'spres],,v.表达n.快车；特快专递
17/51,suppose,英[sә'pәuz],,v.猜想；假定
18/51,weigh,英[wei],,v.称•的重量；权衡
19/51,hate,英[heit],,v.仇恨；厌恶n.憎恨
20/51,attend,英[ә'tend],,v.出席，参加
21/51,touch,英[tʌtʃ],,v.触摸；触动
22/51,communicate,英[kә'mju:nikeit],,v.通讯；传达；交流
23/51,create,英[kri:'eit],,v.创造，创作
24/51,break,英[breik],(broke，broken),v.打破n.破裂；中间休息
25/51,order,英['ɒ:dә],,v.定购；点菜n.顺序
26/51,discover,英[dis'kʌvә],,v.发现，发觉
27/51,pronounce,英[prә'nauns],,v.发音；做出判断
28/51,develop,英[di'velәp],,v.发展；开发
29/51,translate,英[træns'leit],,v.翻译；解释
30/51,share,英[ʃєә],,v.分享，分担
31/51,catch,英['kætʃ],(caught，caught),v.赶上；接住
32/51,encourage,英[in'kʌridʒ],,v.鼓励；激励
33/51,cheer,英[tʃiә],,v.欢呼；为……喝彩
34/51,review,英[ri'vju:],,v.回顾；复习n.评论
35/51,check,英[tʃek],,v.检查n.支票
36/51,suggest,英[sәg'dʒest],,v.建议；提议
37/51,explain,英[ik'splein],,v.解释，说明
38/51,enter,英['entər],,v.进入；参加
39/51,pass,英[pæs],,v.经过；通过
40/51,warn,英[wɒ:n],,.警告；通知
41/51,save,英[seiv],,v.救助；节省
42/51,consider,英[kәn'sidŋ],,v.考虑，认为
43/51,connect,英[kә'nekt],,v.连接，联结
44/51,remain,英[ri'mein],,v.留下；保持
45/51,afford,英[ә'fɒ:d],,v.买得起；提供
46/51,satisfy,英['sætisfai],,v.满足；满意
47/51,describe,英[di'skraib],,v.描写；叙述
48/51,spell,英[spel],(spelled，spelled/spelt，spelt),v.拼写；拼读
49/51,force,英[fɒ:s],,v.强迫n.武力
50/51,achieve,英[ә'tʃi:v],,实现:
51/51,cancel,英['kænsәl],,v.取消；抵消
