seq,word,symbol,tense,paraphrase
01/52,community,英[kә'mju:niti],,n.社区；社团
02/52,gentleman,英['dʒentlmәn],,n.先生；绅士；
03/52,life,英[laif],（复lives）,n.生命；生活
04/52,business,英['biznis],,n.商业；生意；事情
05/52,noise,英[nɒiz],,n.噪音；杂音；喧闹声
06/52,rope,英[rәup],,n.绳子
07/52,line,英[lain],,n.线条；行
08/52,Christmas,英['krismәs],,n.圣诞节
09/52,victory,英['viktәri],,n.胜利
10/52,poem,英['pәuim],,n.诗歌
11/52,lion,英['laiәn],,n.狮子
12/52,December,英[diˈsembə],,n.十二月
13/52,June,英[dʒu:n],,n.六月
14/52,September,英[sep'tembә],,n.九月
15/52,May,英[mei],,n.五月
16/52,August,英［ɒ:'gʌst］,,n.八月
17/52,March,英[mɑ:tʃ],,n.三月
18/52,July,英［dʒu:'lai］,,n.七月
19/52,February,英['februәri],,n.二月
20/52,April,英['eiprәl],,n.四月
21/52,January,英['dʒænjuәri］,,n.一月
22/52,November,英[nəuˈvembə],,n.十一月
23/52,October,英[ɒk'tәubә],,n.十月
24/52,stone,英[stәun],,n.石头；石块
25/52,period,英['piәriәd],,n.时期，时代
26/52,lab,英[læb],(=laboratory),n.实验室
27/52,century,英['sentʃuri],,n.世纪；百年
28/52,world,英[wә:ld],,n.世界；世间；天下
29/52,market,英['mɑ:kit],,n.市场，集市
30/52,fact,英[fækt],,n.事实；真相
31/52,spoon,英[spu:n],,n.汤匙，调羹
32/52,glove,英[glʌv],,n.手套
33/52,handbag,英['hændbæg],,n.手提包；手袋
34/52,finger,英['fiŋgә],,n.手指
35/52,capital,英['kæpitәl],,n.首都；资本；大写字母
36/52,mouse,英[maus],（pl.mice）,n.老鼠；鼠标
37/52,number,英['nʌmbә],,n.数字；数量
38/52,pool,英[pu:l],,n.水池；池子
39/52,level,英['levl],,n.水平线；水平
40/52,voice,英[vɒis],,n.声音；嗓音；愿望
41/52,thought,英[θɒ:t],,n.思想；思考；想法
42/52,quarter,英['kwɒ:tә],,n.四分之一；一刻钟
43/52,speed,英[spi:d],,n.速度v.加速
44/52,granddaughter,英['^rændɔ:tә(r)],,n.孙女
45/52,grandson,英['grændsʌn],,n.孙子
46/52,tower,英['tauә],,n.塔；塔楼
47/52,Pacific,英[pә'sifik],,n.太平洋
48/52,conversation,英[.kɒnvә'seiʃәn],,n.交谈；会话；会谈
49/52,sugar,英['ʃugә],,n.糖
50/52,discussion,英[dis'kʌʃәn],,n.讨论，议论
51/52,sky,英[skai],,n.天空；星空
52/52,air,英[єә],,n.空气；天空；气氛
