seq,word,symbol,tense,paraphrase
01/52,field,英[fi:ld],,n.田地；场地；领域
02/52,pie,英[pai],,n.派；馅饼
03/52,railway,英['reilwei],,n.铁路；铁道
04/52,communication,英[kә.mju:ni'keiʃәn],,n.通讯；交流；沟通
05/52,classmate,英['klɑ:smeit],,n.同班同学
06/52,pain,英[pein],,n.疼痛；痛苦V.使……痛苦
07/52,headache,英['hedeik],,n.头疼；麻烦
08/52,rabbit,英['ræbit],,n.兔子
09/52,pioneer,英[.paiә'niә],,n.拓荒者；先驱者
10/52,outside,英['aut'said],,n.外面ad.在外面prep.在.....外面
11/52,bean,英[bi:n],,n.豆类；豌豆
12/52,bowl,英[bәul],,n.饭碗；大酒杯
13/52,tennis,英['tenis],,n.网球
14/52,website,英[websait],,n.网站；网址
15/52,danger,英['deindʒә],,n.危险；威胁
16/52,scarf,英[skɑ:f],,围巾；头巾；领巾
17/52,tail,英[teil],,n.尾巴
18/52,stomach,英['stʌmәk],,n.胃；肚子
19/52,stomachache,英['stʌmәkeik],,n.胃疼；肚子疼
20/52,temperature,英['temprәtʃә],,n.温度
21/52,text,英[tekst],,n.文本；课文v.发短息
22/52,culture,英['kʌltʃә],,n.文化
23/52,article,英['ɑ:tikl],,n.文章；物品
24/52,matter,英['mætә],,n.问题；麻烦事V.重要
25/52,problem,英['prɒblәm],,n.问题；难题
26/52,pollution,英[pә'lu:ʃәn],,n.污染
27/52,radio,英['reidiәj-],,n.收音机；电台广播
28/52,physics,英['fiziks],,n.物理；物理学
29/52,object,英['ɒbdʒekt],,n.物体；目标；对象
30/52,watermelon,英['wɒtә.melәn],,n.西瓜
31/52,knee,英[ni:],,n.膝盖
32/52,habit,英['hæbit],,n.习惯，习性
33/52,theatre,英['θiәtә］,(AmEtheater),n.戏院；剧院
34/52,sir,英[sә:],,n.先生
35/52,countryside,英['kʌntrisaid],,n.乡村，农村
36/52,project,英['prɒdʒekt],,n.项目；计划；课题
37/52,eraser,英[i'reisә],,n.橡皮擦；黑板擦
38/52,message,英['mesidʒ],,n.消息
39/52,miss,英[mis],,n.小姐v.错过；想念
40/52,violin,英[.vaiә'lin],,n.小提琴
41/52,agreement,英[ә'gri:mәnt],,n.协定；同意
42/52,heart,英[hɑ:t],,n.心脏
43/52,news,英[nju:z],,n.新闻，消息
44/52,letter,英['letә],,n.书信；字母
45/52,information,英[.infә'meiʃәn],,n.信息；情报
46/52,Tuesday,英['tju:zdi],,n.星期二
47/52,Saturday,英['sætәdi],,n.星期六
48/52,Sunday,英['sʌndi],,n.星期日
49/52,Wednesday,英['wenzdi],,n.星期三
50/52,Thursday,英['θә:zdi],,n.星期四
51/52,Friday,英['fraidi],,n.星期五
52/52,Monday,英['mʌndi],,n.星期一
