id,level,subject,mchoice,ans,eword,title,opa,opb,opc,opd,desc,options,sql,members
qitm:j10000,junior,en,N,B,certainly,certainly,prep.反对；依着，靠着,ad.肯定地；当然；一定,prep.在......里面ad.在里面,conj.是否；不论；任何一个,英[''sә:tәnli] ,"[{""k"":""A"", ""v"":""prep.反对；依着，靠着""},{""k"":""B"",""v"":""ad.肯定地；当然；一定""},{""k"":""C"",""v"":""prep.在......里面ad.在里面""},{""k"":""D"",""v"":""conj.是否；不论；任何一个""}]","('qitm:j10000','junior','en','N','B','certainly','certainly','英[''sә:tәnli] ','[{""k"":""A"", ""v"":""prep.反对；依着，靠着""},{""k"":""B"",""v"":""ad.肯定地；当然；一定""},{""k"":""C"",""v"":""prep.在......里面ad.在里面""},{""k"":""D"",""v"":""conj.是否；不论；任何一个""}]'),","('qitm:j10000','MEMBER','quiz:j10','{}'),"
qitm:j10001,junior,en,N,C,together,together,pron.某人；有人,ad.曾经；从来；总是,ad.一起；共同,conj.尽管，虽然,英[tә''geðә] ,"[{""k"":""A"", ""v"":""pron.某人；有人""},{""k"":""B"",""v"":""ad.曾经；从来；总是""},{""k"":""C"",""v"":""ad.一起；共同""},{""k"":""D"",""v"":""conj.尽管，虽然""}]","('qitm:j10001','junior','en','N','C','together','together','英[tә''geðә] ','[{""k"":""A"", ""v"":""pron.某人；有人""},{""k"":""B"",""v"":""ad.曾经；从来；总是""},{""k"":""C"",""v"":""ad.一起；共同""},{""k"":""D"",""v"":""conj.尽管，虽然""}]'),","('qitm:j10001','MEMBER','quiz:j10','{}'),"
qitm:j10002,junior,en,N,B,along,along,pron.某人；有人,ad.向前prep.沿着,pron.几个a.若干,conj.如果不；除非,英[ә''lɒŋ] ,"[{""k"":""A"", ""v"":""pron.某人；有人""},{""k"":""B"",""v"":""ad.向前prep.沿着""},{""k"":""C"",""v"":""pron.几个a.若干""},{""k"":""D"",""v"":""conj.如果不；除非""}]","('qitm:j10002','junior','en','N','B','along','along','英[ә''lɒŋ] ','[{""k"":""A"", ""v"":""pron.某人；有人""},{""k"":""B"",""v"":""ad.向前prep.沿着""},{""k"":""C"",""v"":""pron.几个a.若干""},{""k"":""D"",""v"":""conj.如果不；除非""}]'),","('qitm:j10002','MEMBER','quiz:j10','{}'),"
qitm:j10003,junior,en,N,A,already,already,ad.已经；早已,pron.任何事情，无论何事,prep.在.....期间；在……过程中,conj.比prep.比……；超过,英[ɒ:l''redi] ,"[{""k"":""A"", ""v"":""ad.已经；早已""},{""k"":""B"",""v"":""pron.任何事情，无论何事""},{""k"":""C"",""v"":""prep.在.....期间；在……过程中""},{""k"":""D"",""v"":""conj.比prep.比……；超过""}]","('qitm:j10003','junior','en','N','A','already','already','英[ɒ:l''redi] ','[{""k"":""A"", ""v"":""ad.已经；早已""},{""k"":""B"",""v"":""pron.任何事情，无论何事""},{""k"":""C"",""v"":""prep.在.....期间；在……过程中""},{""k"":""D"",""v"":""conj.比prep.比……；超过""}]'),","('qitm:j10003','MEMBER','quiz:j10','{}'),"
qitm:j10004,junior,en,N,C,ago,ago,conj.每当；无论何时adv.无论何时,pron.哪一个a.这个,ad.以前；之前,ad.一起；共同,英[ә''gәu] ,"[{""k"":""A"", ""v"":""conj.每当；无论何时adv.无论何时""},{""k"":""B"",""v"":""pron.哪一个a.这个""},{""k"":""C"",""v"":""ad.以前；之前""},{""k"":""D"",""v"":""ad.一起；共同""}]","('qitm:j10004','junior','en','N','C','ago','ago','英[ә''gәu] ','[{""k"":""A"", ""v"":""conj.每当；无论何时adv.无论何时""},{""k"":""B"",""v"":""pron.哪一个a.这个""},{""k"":""C"",""v"":""ad.以前；之前""},{""k"":""D"",""v"":""ad.一起；共同""}]'),","('qitm:j10004','MEMBER','quiz:j10','{}'),"
qitm:j10005,junior,en,N,A,ever,ever,ad.曾经；从来；总是,prep.在.....期间；在……过程中,pron.每件事；一切,pron.任何事情，无论何事,英[''evә] ,"[{""k"":""A"", ""v"":""ad.曾经；从来；总是""},{""k"":""B"",""v"":""prep.在.....期间；在……过程中""},{""k"":""C"",""v"":""pron.每件事；一切""},{""k"":""D"",""v"":""pron.任何事情，无论何事""}]","('qitm:j10005','junior','en','N','A','ever','ever','英[''evә] ','[{""k"":""A"", ""v"":""ad.曾经；从来；总是""},{""k"":""B"",""v"":""prep.在.....期间；在……过程中""},{""k"":""C"",""v"":""pron.每件事；一切""},{""k"":""D"",""v"":""pron.任何事情，无论何事""}]'),","('qitm:j10005','MEMBER','quiz:j10','{}'),"
qitm:j10006,junior,en,N,B,especially,especially,prep.&conj.直到...为止，到....时,ad.尤其是，特别；专门地,pron.你自己，你们自己,conj.尽管；虽然,英[i''speʃәli] ,"[{""k"":""A"", ""v"":""prep.&conj.直到...为止，到....时""},{""k"":""B"",""v"":""ad.尤其是，特别；专门地""},{""k"":""C"",""v"":""pron.你自己，你们自己""},{""k"":""D"",""v"":""conj.尽管；虽然""}]","('qitm:j10006','junior','en','N','B','especially','especially','英[i''speʃәli] ','[{""k"":""A"", ""v"":""prep.&conj.直到...为止，到....时""},{""k"":""B"",""v"":""ad.尤其是，特别；专门地""},{""k"":""C"",""v"":""pron.你自己，你们自己""},{""k"":""D"",""v"":""conj.尽管；虽然""}]'),","('qitm:j10006','MEMBER','quiz:j10','{}'),"
qitm:j10007,junior,en,N,B,somewhere,somewhere,conj.每当；无论何时adv.无论何时,ad.某处，在某处,prep.&conj.直到...为止，到....时,prep.除...以外，除去,英[''sʌmhwєә] ,"[{""k"":""A"", ""v"":""conj.每当；无论何时adv.无论何时""},{""k"":""B"",""v"":""ad.某处，在某处""},{""k"":""C"",""v"":""prep.&conj.直到...为止，到....时""},{""k"":""D"",""v"":""prep.除...以外，除去""}]","('qitm:j10007','junior','en','N','B','somewhere','somewhere','英[''sʌmhwєә] ','[{""k"":""A"", ""v"":""conj.每当；无论何时adv.无论何时""},{""k"":""B"",""v"":""ad.某处，在某处""},{""k"":""C"",""v"":""prep.&conj.直到...为止，到....时""},{""k"":""D"",""v"":""prep.除...以外，除去""}]'),","('qitm:j10007','MEMBER','quiz:j10','{}'),"
qitm:j10008,junior,en,N,B,below,below,pron.两者中任何一个两者中任一的,ad.在下面prep.在.............之下；低于,pron.某一个人；有人,conj.在.....时候；而n.一会儿,英[bi''lәu] ,"[{""k"":""A"", ""v"":""pron.两者中任何一个两者中任一的""},{""k"":""B"",""v"":""ad.在下面prep.在.............之下；低于""},{""k"":""C"",""v"":""pron.某一个人；有人""},{""k"":""D"",""v"":""conj.在.....时候；而n.一会儿""}]","('qitm:j10008','junior','en','N','B','below','below','英[bi''lәu] ','[{""k"":""A"", ""v"":""pron.两者中任何一个两者中任一的""},{""k"":""B"",""v"":""ad.在下面prep.在.............之下；低于""},{""k"":""C"",""v"":""pron.某一个人；有人""},{""k"":""D"",""v"":""conj.在.....时候；而n.一会儿""}]'),","('qitm:j10008','MEMBER','quiz:j10','{}'),"
qitm:j10009,junior,en,N,B,really,really,conj.在.....时候；而n.一会儿,ad.真正地；确实,conj.是否；不论；任何一个,prep.超过；在......之上ad.在上面,英[''riәli] ,"[{""k"":""A"", ""v"":""conj.在.....时候；而n.一会儿""},{""k"":""B"",""v"":""ad.真正地；确实""},{""k"":""C"",""v"":""conj.是否；不论；任何一个""},{""k"":""D"",""v"":""prep.超过；在......之上ad.在上面""}]","('qitm:j10009','junior','en','N','B','really','really','英[''riәli] ','[{""k"":""A"", ""v"":""conj.在.....时候；而n.一会儿""},{""k"":""B"",""v"":""ad.真正地；确实""},{""k"":""C"",""v"":""conj.是否；不论；任何一个""},{""k"":""D"",""v"":""prep.超过；在......之上ad.在上面""}]'),","('qitm:j10009','MEMBER','quiz:j10','{}'),"
qitm:j10010,junior,en,N,C,round,round,pron.每人，人人,prep.超过；在......之上ad.在上面,ade&prep.围综a.圆的n.轮次,conj.也不，也不是,英[raund] ,"[{""k"":""A"", ""v"":""pron.每人，人人""},{""k"":""B"",""v"":""prep.超过；在......之上ad.在上面""},{""k"":""C"",""v"":""ade&prep.围综a.圆的n.轮次""},{""k"":""D"",""v"":""conj.也不，也不是""}]","('qitm:j10010','junior','en','N','C','round','round','英[raund] ','[{""k"":""A"", ""v"":""pron.每人，人人""},{""k"":""B"",""v"":""prep.超过；在......之上ad.在上面""},{""k"":""C"",""v"":""ade&prep.围综a.圆的n.轮次""},{""k"":""D"",""v"":""conj.也不，也不是""}]'),","('qitm:j10010','MEMBER','quiz:j10','{}'),"
