id,level,subject,mchoice,ans,eword,title,opa,opb,opc,opd,desc,options,sql
"qitm:p05000","primary","en","N","B","playground","playground","n.稻米；米饭","n.操场","n.父母，双亲","n.歌唱；歌曲","英['pleigraund] "
"qitm:p05001","primary","en","N","C","grass","grass","n.电子邮件v.发电子邮件","n.蛋；卵","n.草；草地","n.故事，小说","英[græs] "
"qitm:p05002","primary","en","N","B","toilet","toilet","n.风筝","n.厕所","n.操场","n.公共汽车，大巴车","英['tɒilit] "
"qitm:p05003","primary","en","N","C","tea","tea","n.地面；楼层","n.飞机","n.茶，茶叶","n.孩子；儿童","英[ti:] "
"qitm:p05004","primary","en","N","C","supermarket","supermarket","n.光；灯v.点火a.明亮的","n.电子邮件v.发电子邮件","n.超级市场，超市","n.蛋；卵","英['sju:pәmɑ:kit] "
"qitm:p05005","primary","en","N","D","city","city","n.歌唱；歌曲","n.飞机","n.冬天","n.城市","英['siti] "
"qitm:p05006","primary","en","N","D","taxi","taxi","n.地方v.放置","n.地面；楼层","n.父母，双亲","n.出租汽车","英['tæksi] "
"qitm:p05007","primary","en","N","A","kitchen","kitchen","n.厨房","n.光；灯v.点火a.明亮的","n.妇女；女人","n.父亲","英['kitʃin] "
"qitm:p05008","primary","en","N","D","ship","ship","n.风筝","n.歌唱；歌曲","n.钢笔，笔","n.船v.用船装运","英[ʃip] "
"qitm:p05009","primary","en","N","B","window","window","n.房子；住宅","n.窗户","n.草；草地","n.妇女；女人","英['windәu] "
"qitm:p05010","primary","en","N","B","bed","bed","n.公园v.停车","n.床","n.冬天","n.蛋糕；饼","英[bed] "
"qitm:p05011","primary","en","N","C","spring","spring","n.出租汽车","n.故事，小说","n.春天；泉水","n.电影","英[spriŋ] "
"qitm:p05012","primary","en","N","B","word","word","n.飞行；苍蝇","n.词，单词；话","n.父母，双亲","n.飞机","英[wә:d] "
"qitm:p05013","primary","en","N","D","bag","bag","n.操场","n.地面；楼层","n.厕所","n.袋，包","英[bæg] "
"qitm:p05014","primary","en","N","A","egg","egg","n.蛋；卵","n.妇女；女人","n.风筝","n.地方v.放置","英[eg] "
