id,level,subject,mchoice,ans,eword,title,opa,opb,opc,opd,desc,options,sql
"qitm:j01000","junior","N","A","mix","mix","v.混淆；混合","v.教；教授","v.失败；不及格","v.支付；偿还n.薪水","英[miks] "
"qitm:j01001","junior","N","B","litter","litter","v.到达；伸手够到","v.乱丢；乱扔废弃物n.垃圾","v.庆祝；过节","v.支付；偿还n.薪水","英['litә] "
"qitm:j01002","junior","N","A","kick","kick","v.&n.踢","v.燃烧n.烧伤","v.拉，拖n.拉力","v.惩罚","英[kik] "
"qitm:j01003","junior","N","D","increase","increase","v.燃烧n.烧伤","v.动摇；震动","v.关心；照顾","v.&n.增加，增长、；","英[in'kri:s] "
"qitm:j01004","junior","N","D","shut","shut","v.驾驶；开车","v.管理；设法做到","v.打电话n.电出","v.&n.关闭；停业","英[ʃʌt] (shut，shut)"
"qitm:j01005","junior","N","C","hide","hide","v.管理；设法做到","v.关心；照顾","v.把...藏起来；隐藏","v.放松；使轻松","英[haid] (hid，hidden)"
"qitm:j01006","junior","N","A","keep","keep","v.保持；保存","v.记得；想起","v.关心；照顾","v.建筑；建造","英[ki:p] (kept，kept)"
"qitm:j01007","junior","N","C","must","must","v.燃烧n.烧伤","v.归还；返回","v.必须；必定是","v.借用；借","英[mʌst] "
"qitm:j01008","junior","N","B","punish","punish","v.举起；提升","v.惩罚","v.借用；借","v.燃烧n.烧伤","英['pʌniʃ] "
"qitm:j01009","junior","N","B","telephone","telephone","v.骑；乘车n.乘坐","v.打电话n.电话","v.放松；使轻松","v.&n.增加，增长、；","英['telifәun] "
"qitm:j01010","junior","N","B","phone","phone","v.实现","v.打电话n.电出","v.借用；借","v.乱丢；乱扔废弃物n.垃圾","英[fәun] (=telephone)"
"qitm:j01011","junior","N","B","fight","fight","v.关心；照顾","v.&n.打架；争斗","v.管理；设法做到","v.领导；带领","英[fait] (fought，fbught)"
"qitm:j01012","junior","N","A","reach","reach","v.到达；伸手够到","v.解决","v.把...藏起来；隐藏","v.&n.关闭；停业","英[ri:tʃ] "
"qitm:j01013","junior","N","D","understand","understand","v.受伤n.伤口","v.对...疑惑，惊奇；想知道","v.拉，拖n.拉力","v.懂得，理解；明白","英[.ʌndә'stænd] (understood，understood)"
"qitm:j01014","junior","N","D","shake","shake","v.骑；乘车n.乘坐","v.爬，攀登","v.懂得，理解；明白","v.动摇；震动","英[ʃeik] (shook，shaken)"
"qitm:j01015","junior","N","A","spend","spend","v.度过；花费","v.嫁；结婚","v.到达；伸手够到","v.失败；不及格","英[spend] (spent，spent)"
"qitm:j01016","junior","N","B","wonder","wonder","v.庆祝；过节","v.对...疑惑，惊奇；想知道","v.离开；留下","v.懂得，理解；明白","英['wʌndә] "
"qitm:j01017","junior","N","D","shine","shine","v.打电话n.电出","v.解决","v.借用；借","v.发光；照耀","英[ʃain] (shone，shone)"
"qitm:j01018","junior","N","D","relax","relax","v.解决","v.杀死；使终止","v.爬，攀登","v.放松；使轻松","英[ri'læks] "
"qitm:j01019","junior","N","B","pay","pay","v.燃烧n.烧伤","v.支付；偿还n.薪水","v.失败；不及格","v.保持；保存","英[pei] (paid，paid)"
"qitm:j01020","junior","N","C","show","show","v.到达；伸手够到","v.实现","v.&n.显示；说明；演出","v.对...疑惑，惊奇；想知道","英[ʃәu] (showed，shown)"
"qitm:j01021","junior","N","B","support","support","v.乱丢；乱扔废弃物n.垃圾","v.支持；供养","v.解决","v.打电话n.电话","英[sә'pɒ:t] "
"qitm:j01022","junior","N","D","care","care","v.支付；偿还n.薪水","v.记得；想起","v.杀死；使终止","v.关心；照顾","英[kєә] "
"qitm:j01023","junior","N","A","manage","manage","v.管理；设法做到","v.燃烧n.烧伤","v.切，剪","v.举起；提升","英['mænidʒ] "
"qitm:j01024","junior","N","D","return","return","v.&n.打架；争斗","v.决定；下决心","v.记得；想起","v.归还；返回","英[ri'tә:n] "
"qitm:j01025","junior","N","A","act","act","v.行动，扮演n.行为","v.庆祝；过节","v.驾驶；开车","v.骑；乘车n.乘坐","英[ækt] "
"qitm:j01026","junior","N","B","wound","wound","v.切，剪","v.受伤n.伤口","v.支持；供养","v.到达；伸手够到","英[wu:nd] "
"qitm:j01027","junior","N","A","remember","remember","v.记得；想起","v.混淆；混合","v.领导；带领","v.支付；偿还n.薪水","英[ri'membә] "
"qitm:j01028","junior","N","A","drive","drive","v.驾驶；开车","v.发送；派遣；寄信","v.乱丢；乱扔废弃物n.垃圾","v.领导；带领","英[draiv] "
"qitm:j01029","junior","N","C","build","build","v.&n.增加，增长、；","v.发送；派遣；寄信","v.建筑；建造","v.支持；供养","英[bild] (built，built)"
"qitm:j01030","junior","N","D","teach","teach","v.动摇；震动","v.燃烧n.烧伤","v.度过；花费","v.教；教授","英[ti:tʃ] (taught，taught)"
"qitm:j01031","junior","N","D","marry","marry","v.爬，攀登","v.动摇；震动","v.支持；供养","v.嫁；结婚","英['mæri] "
"qitm:j01032","junior","N","D","finish","finish","v.卖","v.行动，扮演n.行为","v.保持；保存","v.完成；结束","英['finiʃ] "
"qitm:j01033","junior","N","D","solve","solve","v.卖","v.拉，拖n.拉力","v.受伤n.伤口","v.解决","英[sɒlv] "
"qitm:j01034","junior","N","C","borrow","borrow","v.把...藏起来；隐藏","v.支持；供养","v.借用；借","v.完成；结束","英['bɒrәu] "
"qitm:j01035","junior","N","B","lift","lift","v.打电话n.电出","v.举起；提升","v.对...疑惑，惊奇；想知道","v.发送；派遣；寄信","英[lift] "
"qitm:j01036","junior","N","B","decide","decide","v.举起；提升","v.决定；下决心","v.&n.打架；争斗","v.对...疑惑，惊奇；想知道","英[di'said] "
"qitm:j01037","junior","N","B","start","start","v.爬，攀登","v.开始；出发","v.离开；留下","v.嫁；结婚","英[stɑ:t] "
"qitm:j01038","junior","N","C","pull","pull","v.行动，扮演n.行为","v.建筑；建造","v.拉，拖n.拉力","v.离开；留下","英[pul] "
"qitm:j01039","junior","N","A","leave","leave","v.离开；留下","v.行动，扮演n.行为","v.管理；设法做到","v.记得；想起","英[li:v] (left，le仕)"
"qitm:j01040","junior","N","D","lead","lead","v.骑；乘车n.乘坐","v.归还；返回","v.&n.踢","v.领导；带领","英[li:d. led] (led，led)"
"qitm:j01041","junior","N","D","sell","sell","v.举起；提升","v.&n.关闭；停业","v.度过；花费","v.卖","英[sel] (sold，sold)"
"qitm:j01042","junior","N","A","climb","climb","v.爬，攀登","v.管理；设法做到","v.混淆；混合","v.失败；不及格","英[klaim] "
"qitm:j01043","junior","N","B","send","send","v.举起；提升","v.发送；派遣；寄信","v.懂得，理解；明白","v.记得；想起","英[send] (sent，sent)"
"qitm:j01044","junior","N","D","ride","ride","v.&n.显示；说明；演出","v.拉，拖n.拉力","v.卖","v.骑；乘车n.乘坐","英[raid] (rode，ridden)"
"qitm:j01045","junior","N","B","cut","cut","v.庆祝；过节","v.切，剪","v.度过；花费","v.关心；照顾","英[kʌt] (cut，cut)"
"qitm:j01046","junior","N","B","celebrate","celebrate","v.&n.增加，增长、；","v.庆祝；过节","v.到达；伸手够到","v.领导；带领","英['selibreit] "
"qitm:j01047","junior","N","D","burn","burn","v.&n.显示；说明；演出","v.放松；使轻松","v.度过；花费","v.燃烧n.烧伤","英[bә:n] (-ed，-ed或burnt，burnt)"
"qitm:j01048","junior","N","A","kill","kill","v.杀死；使终止","v.惩罚","v.&n.增加，增长、；","v.建筑；建造","英[kil] "
