id,level,subject,mchoice,ans,eword,title,opa,opb,opc,opd,desc,options,sql,members
qitm:p02000,primary,en,N,A,can,can,aux.能够，可以n.罐头,n.&v.锻炼，练习,n.&v.停止,a.高的a.高的ad.高地,英[kæn]美[kæn] ,"[{""k"":""A"", ""v"":""aux.能够，可以n.罐头""},{""k"":""B"",""v"":""n.&v.锻炼，练习""},{""k"":""C"",""v"":""n.&v.停止""},{""k"":""D"",""v"":""a.高的a.高的ad.高地""}]","(''qitm:p02000'',''primary'',''en'',''N'',''A'',''can'',''can'',''英[kæn]美[kæn] '',''[{""k"":""A"", ""v"":""aux.能够，可以n.罐头""},{""k"":""B"",""v"":""n.&v.锻炼，练习""},{""k"":""C"",""v"":""n.&v.停止""},{""k"":""D"",""v"":""a.高的a.高的ad.高地""}]''),"
qitm:p02001,primary,en,N,B,look,look,a.&pron.这,n.看v.观看,aux.能够，可以n.罐头,ad.大约a.在附近的prep.关于,英[luk]]美[luk] ,"[{""k"":""A"", ""v"":""a.&pron.这""},{""k"":""B"",""v"":""n.看v.观看""},{""k"":""C"",""v"":""aux.能够，可以n.罐头""},{""k"":""D"",""v"":""ad.大约a.在附近的prep.关于""}]","(''qitm:p02001'',''primary'',''en'',''N'',''B'',''look'',''look'',''英[luk]]美[luk] '',''[{""k"":""A"", ""v"":""a.&pron.这""},{""k"":""B"",""v"":""n.看v.观看""},{""k"":""C"",""v"":""aux.能够，可以n.罐头""},{""k"":""D"",""v"":""ad.大约a.在附近的prep.关于""}]''),"
qitm:p02002,primary,en,N,B,walk,walk,a.高的a.高的ad.高地,n.&v•步行，散步,n.哭声v.喊叫，哭,a.全部的pron.全部ad.全部地n.全体,英[wɔ:k]美[wɔk] ,"[{""k"":""A"", ""v"":""a.高的a.高的ad.高地""},{""k"":""B"",""v"":""n.&v•步行，散步""},{""k"":""C"",""v"":""n.哭声v.喊叫，哭""},{""k"":""D"",""v"":""a.全部的pron.全部ad.全部地n.全体""}]","(''qitm:p02002'',''primary'',''en'',''N'',''B'',''walk'',''walk'',''英[wɔ:k]美[wɔk] '',''[{""k"":""A"", ""v"":""a.高的a.高的ad.高地""},{""k"":""B"",""v"":""n.&v•步行，散步""},{""k"":""C"",""v"":""n.哭声v.喊叫，哭""},{""k"":""D"",""v"":""a.全部的pron.全部ad.全部地n.全体""}]''),"
qitm:p02003,primary,en,N,B,exercise,exercise,a.快的，迅速的ad.迅速地,n.&v.锻炼，练习,a.黑的n.黑色,a.坏的，严重的n.坏人ad.不好地,英[''eksəsaiz]美[''eksərsaiz] ,"[{""k"":""A"", ""v"":""a.快的，迅速的ad.迅速地""},{""k"":""B"",""v"":""n.&v.锻炼，练习""},{""k"":""C"",""v"":""a.黑的n.黑色""},{""k"":""D"",""v"":""a.坏的，严重的n.坏人ad.不好地""}]","(''qitm:p02003'',''primary'',''en'',''N'',''B'',''exercise'',''exercise'',''英[''eksəsaiz]美[''eksərsaiz] '',''[{""k"":""A"", ""v"":""a.快的，迅速的ad.迅速地""},{""k"":""B"",""v"":""n.&v.锻炼，练习""},{""k"":""C"",""v"":""a.黑的n.黑色""},{""k"":""D"",""v"":""a.坏的，严重的n.坏人ad.不好地""}]''),"
qitm:p02004,primary,en,N,A,worry,worry,n.&v.烦恼，担忧，困扰,a.好，良好,n.&v.工作，运转,a.大的ad.大量地,英[''wʌri]美[''wʒri] ,"[{""k"":""A"", ""v"":""n.&v.烦恼，担忧，困扰""},{""k"":""B"",""v"":""a.好，良好""},{""k"":""C"",""v"":""n.&v.工作，运转""},{""k"":""D"",""v"":""a.大的ad.大量地""}]","(''qitm:p02004'',''primary'',''en'',''N'',''A'',''worry'',''worry'',''英[''wʌri]美[''wʒri] '',''[{""k"":""A"", ""v"":""n.&v.烦恼，担忧，困扰""},{""k"":""B"",""v"":""a.好，良好""},{""k"":""C"",""v"":""n.&v.工作，运转""},{""k"":""D"",""v"":""a.大的ad.大量地""}]''),"
qitm:p02005,primary,en,N,C,call,call,n.&vi.跳舞,n.&vt.爱，热爱,n.喊，电话v.称呼，打电话,a.高的a.高的ad.高地,英[kɔ:l]美[kɔl] ,"[{""k"":""A"", ""v"":""n.&vi.跳舞""},{""k"":""B"",""v"":""n.&vt.爱，热爱""},{""k"":""C"",""v"":""n.喊，电话v.称呼，打电话""},{""k"":""D"",""v"":""a.高的a.高的ad.高地""}]","(''qitm:p02005'',''primary'',''en'',''N'',''C'',''call'',''call'',''英[kɔ:l]美[kɔl] '',''[{""k"":""A"", ""v"":""n.&vi.跳舞""},{""k"":""B"",""v"":""n.&vt.爱，热爱""},{""k"":""C"",""v"":""n.喊，电话v.称呼，打电话""},{""k"":""D"",""v"":""a.高的a.高的ad.高地""}]''),"
qitm:p02006,primary,en,N,B,stop,stop,a.凉爽的，酷,n.&v.停止,a.丑陋的,n.&v.谈话，交谈,英[stɔp]美[stɔp] ,"[{""k"":""A"", ""v"":""a.凉爽的，酷""},{""k"":""B"",""v"":""n.&v.停止""},{""k"":""C"",""v"":""a.丑陋的""},{""k"":""D"",""v"":""n.&v.谈话，交谈""}]","(''qitm:p02006'',''primary'',''en'',''N'',''B'',''stop'',''stop'',''英[stɔp]美[stɔp] '',''[{""k"":""A"", ""v"":""a.凉爽的，酷""},{""k"":""B"",""v"":""n.&v.停止""},{""k"":""C"",""v"":""a.丑陋的""},{""k"":""D"",""v"":""n.&v.谈话，交谈""}]''),"
qitm:p02007,primary,en,N,B,talk,talk,a.薄的，瘦的,n.&v.谈话，交谈,a.好，良好,a.冷的n.寒冷，感冒,英[tɔ:k]美[tɔk] ,"[{""k"":""A"", ""v"":""a.薄的，瘦的""},{""k"":""B"",""v"":""n.&v.谈话，交谈""},{""k"":""C"",""v"":""a.好，良好""},{""k"":""D"",""v"":""a.冷的n.寒冷，感冒""}]","(''qitm:p02007'',''primary'',''en'',''N'',''B'',''talk'',''talk'',''英[tɔ:k]美[tɔk] '',''[{""k"":""A"", ""v"":""a.薄的，瘦的""},{""k"":""B"",""v"":""n.&v.谈话，交谈""},{""k"":""C"",""v"":""a.好，良好""},{""k"":""D"",""v"":""a.冷的n.寒冷，感冒""}]''),"
qitm:p02008,primary,en,N,D,travel,travel,a.凉爽的，酷,n.&v.烦恼，担忧，困扰,a.黄色的,n.&vi.旅行,英[''trævl][美[''trævl] ,"[{""k"":""A"", ""v"":""a.凉爽的，酷""},{""k"":""B"",""v"":""n.&v.烦恼，担忧，困扰""},{""k"":""C"",""v"":""a.黄色的""},{""k"":""D"",""v"":""n.&vi.旅行""}]","(''qitm:p02008'',''primary'',''en'',''N'',''D'',''travel'',''travel'',''英[''trævl][美[''trævl] '',''[{""k"":""A"", ""v"":""a.凉爽的，酷""},{""k"":""B"",""v"":""n.&v.烦恼，担忧，困扰""},{""k"":""C"",""v"":""a.黄色的""},{""k"":""D"",""v"":""n.&vi.旅行""}]''),"
qitm:p02009,primary,en,N,D,use,use,n.喊，电话v.称呼，打电话,n.厨师v.做饭,a.精彩的，了不起的,n.&vt.利用，使用,英[ju:s]美[jus] ,"[{""k"":""A"", ""v"":""n.喊，电话v.称呼，打电话""},{""k"":""B"",""v"":""n.厨师v.做饭""},{""k"":""C"",""v"":""a.精彩的，了不起的""},{""k"":""D"",""v"":""n.&vt.利用，使用""}]","(''qitm:p02009'',''primary'',''en'',''N'',''D'',''use'',''use'',''英[ju:s]美[jus] '',''[{""k"":""A"", ""v"":""n.喊，电话v.称呼，打电话""},{""k"":""B"",""v"":""n.厨师v.做饭""},{""k"":""C"",""v"":""a.精彩的，了不起的""},{""k"":""D"",""v"":""n.&vt.利用，使用""}]''),"
qitm:p02010,primary,en,N,A,work,work,n.&v.工作，运转,a.大的ad.大量地,a.&ad.远的，遥远地,a.快的，迅速的ad.迅速地,英[w3:k]美[w3rk] ,"[{""k"":""A"", ""v"":""n.&v.工作，运转""},{""k"":""B"",""v"":""a.大的ad.大量地""},{""k"":""C"",""v"":""a.&ad.远的，遥远地""},{""k"":""D"",""v"":""a.快的，迅速的ad.迅速地""}]","(''qitm:p02010'',''primary'',''en'',''N'',''A'',''work'',''work'',''英[w3，k]美[w3rk] '',''[{""k"":""A"", ""v"":""n.&v.工作，运转""},{""k"":""B"",""v"":""a.大的ad.大量地""},{""k"":""C"",""v"":""a.&ad.远的，遥远地""},{""k"":""D"",""v"":""a.快的，迅速的ad.迅速地""}]''),"
