seq,word,Unicode,pinyin
0001/3500,一,U+4E00,yī
0002/3500,乙,U+4E59,yǐ
0003/3500,二,U+4E8C,èr
0004/3500,十,U+5341,shí
0005/3500,丁,U+4E01,dīng
0006/3500,厂,U+5382,chǎng
0007/3500,七,U+4E03,qī
0008/3500,卜,U+535C,bo，bǔ
0009/3500,八,U+516B,bā
0010/3500,人,U+4EBA,rén
0011/3500,入,U+5165,rù
0012/3500,儿,U+513F,ér
0013/3500,匕,U+5315,bǐ
0014/3500,几,U+51E0,jī，jǐ
0015/3500,九,U+4E5D,jiǔ
0016/3500,刁,U+5201,diāo
0017/3500,了,U+4E86,le，liǎo
0018/3500,刀,U+5200,dāo
0019/3500,力,U+529B,lì
0020/3500,乃,U+4E43,nǎi
0021/3500,又,U+53C8,yòu
0022/3500,三,U+4E09,sān
0023/3500,干,U+5E72,gān，gàn
0024/3500,于,U+4E8E,yú
0025/3500,亏,U+4E8F,kuī
0026/3500,工,U+5DE5,gōng
0027/3500,土,U+571F,tǔ
0028/3500,士,U+58EB,shì
0029/3500,才,U+624D,cái
0030/3500,下,U+4E0B,xià
0031/3500,寸,U+5BF8,cùn
0032/3500,大,U+5927,dà，dài
0033/3500,丈,U+4E08,zhàng
0034/3500,与,U+4E0E,yǔ，yù
0035/3500,万,U+4E07,mò，wàn
0036/3500,上,U+4E0A,shǎng，shàng
0037/3500,小,U+5C0F,xiǎo
0038/3500,口,U+53E3,kǒu
0039/3500,山,U+5C71,shān
0040/3500,巾,U+5DFE,jīn
0041/3500,千,U+5343,qiān
0042/3500,乞,U+4E5E,qǐ
0043/3500,川,U+5DDD,chuān
0044/3500,亿,U+4EBF,yì
0045/3500,个,U+4E2A,gě，gè
0046/3500,夕,U+5915,xī
0047/3500,久,U+4E45,jiǔ
0048/3500,么,U+4E48,me
0049/3500,勺,U+52FA,sháo
0050/3500,凡,U+51E1,fán
0051/3500,丸,U+4E38,wán
0052/3500,及,U+53CA,jí
0053/3500,广,U+5E7F,guǎng
0054/3500,亡,U+4EA1,wáng
0055/3500,门,U+95E8,mén
0056/3500,丫,U+4E2B,yā
0057/3500,义,U+4E49,yì
0058/3500,之,U+4E4B,zhī
0059/3500,尸,U+5C38,shī
0060/3500,己,U+5DF1,jǐ
0061/3500,已,U+5DF2,yǐ
0062/3500,巳,U+5DF3,sì
0063/3500,弓,U+5F13,gōng
0064/3500,子,U+5B50,zǐ
0065/3500,卫,U+536B,wèi
0066/3500,也,U+4E5F,yě
0067/3500,女,U+5973,nǚ
0068/3500,刃,U+5203,rèn
0069/3500,飞,U+98DE,fēi
0070/3500,习,U+4E60,xí
0071/3500,叉,U+53C9,chā，chá，chǎ，chà
0072/3500,马,U+9A6C,mǎ
0073/3500,乡,U+4E61,xiāng
0074/3500,丰,U+4E30,fēng
0075/3500,王,U+738B,wáng
0076/3500,开,U+5F00,kāi
0077/3500,井,U+4E95,jǐng
0078/3500,天,U+5929,tiān
0079/3500,夫,U+592B,fū
0080/3500,元,U+5143,yuán
0081/3500,无,U+65E0,mó，wú
0082/3500,云,U+4E91,yún
0083/3500,专,U+4E13,zhuān
0084/3500,丐,U+4E10,gài
0085/3500,扎,U+624E,zā，zhā，zhá
0086/3500,艺,U+827A,yì
0087/3500,木,U+6728,mù
0088/3500,五,U+4E94,wǔ
0089/3500,支,U+652F,zhī
0090/3500,厅,U+5385,tīng
0091/3500,不,U+4E0D,bù
0092/3500,犬,U+72AC,quǎn
0093/3500,太,U+592A,tài
0094/3500,区,U+533A,ōu，qū
0095/3500,历,U+5386,lì
0096/3500,歹,U+6B79,dǎi
0097/3500,友,U+53CB,yǒu
0098/3500,尤,U+5C24,yóu
0099/3500,匹,U+5339,pǐ
0100/3500,车,U+8F66,chē，jū
0101/3500,巨,U+5DE8,jù
0102/3500,牙,U+7259,yá
0103/3500,屯,U+5C6F,tún
0104/3500,戈,U+6208,gē
0105/3500,比,U+6BD4,bǐ
0106/3500,互,U+4E92,hù
0107/3500,切,U+5207,qiē，qiè
0108/3500,瓦,U+74E6,wǎ，wà
