seq,word,symbol,tense,paraphrase
01/51,farmer,英[firmer)]美[farmo(r)],,n.农夫，农民
02/51,girl,英[g3；l]美[gsrl],,n.女孩
03/51,skirt,英[sk3；t]美[sk3；rt],,n.裙子；短裙
04/51,Ms.,英[miz]美[miz],,n.女士
05/51,friend,英[什end]美[firnd],,n.朋友
06/51,apple,英[磔1]美[磔列],,n.苹果
07/51,car,英[ka:(r)]美[kar],,n.汽车
08/51,pencil,英['pensl]美[pcnsol],,n.铅笔
09/51,autumn,英[]美[3匕m],,n.秋天a.秋天的
10/51,ball,英[(boR]美[闻],,n.球；舞会
11/51,right,英[rait]美[rait],,n.权利a.正确的；右边的ad.正确地
12/51,fan,英[网n]美[除n],,n.迷；爱好者；风扇
13/51,people,英[pi；pl]美[pipol],,n.人；人民；人类
14/51,body,英[bDdi]美[badi],,n.身体
15/51,birthday,英[b3；0dci]美[b3r0dci],,n.生日
16/51,time,英[taim]美[taim],,n.时间；时代；次数
17/51,food,英[®d]美[Rid],,n.食物
18/51,hand,英[hasnd]美[hænd],,手；指针v.上交
19/51,book,英[b»k]美[buk],,n.书v.预订
20/51,schoolbag,英[sku:lb田g]美[skulbæg],,n.书包
21/51,desk,英[desk]美[desk],,n.书桌
22/51,uncle,英[汹[]美[人冰刈],,n.叔；伯
23/51,vegetable,英[ved^tobl]美[”曲匕心1],,n.蔬菜
24/51,tree,英[tri；]美[tri],,n.树
25/51,math(s),英[mæO]美[mæ0],(mathcmatics),n.数学
26/51,water,英[wo:匕(r)]美[],,n.水v.浇水
27/51,fruit,英[fru:t]美[frut],,n.水果；果实
28/51,driver,英[draivo(r)]美[draiv6],,n.司机
29/51,sun,英[SAII]美[sAn],,n.太阳，阳光
30/51,soup,英[sup]美[sup],,n.汤
31/51,cousin,英[kAzn]美[kAzn],,n.堂兄弟；堂姐妹
32/51,candy,英[ksendi]美[kændi],,n.糖果
33/51,subject,英[SAbd3】kt]美[SAbdsckt],,n.题目；主题；学科
34/51,PE,英[SAbd3】kt]美[SAbdsckt],(physicaleducation),n.体育
35/51,sport,英[spo:t]美[sport],,n.体育运动；运动会
36/51,weather,英['we8(r)]美['w£d»],,n.天气
37/51,jump,英[d3Amp]美[d3Amp],,n.跳，跳跃v.跳跃
38/51,ruler,英[ru:b⑻]美[ru⑸],,n.统治者；直尺
39/51,head,英[hed]美[耻d],,n.头；标题a.主要的
40/51,hair,英[heo(r)]美[her],,n.头发
41/51,picture,英['pikg(r)]美[pikg],,n.图片，照片
42/51,libraiy,英[laibmri]美[laibreri],,n.图书馆
43/51,potato,英[po'teitM]美[po'teito。],,n.土豆，马铃薯
44/51,leg,英[口eg]美[喻],,n.腿
45/51,coat,英[knot]美[koot],,n.外套，大衣
46/51,toy,英[toi]美[⑶],,n.玩具
47/51,lunch,英[口AM]美[IAM],,n.午餐
48/51,tomato,英[O'mQ；t0o]美[gmeitoo],,n.西红柿
49/51,wash,英[wM]美[wqf],,n.洗v.冲洗
50/51,afternoon,英[Q:代o'nu:n]美[Læftor'nun],,n.下午
51/51,summer,英[sAmo(r)]美[sAma-],,n.夏天5
