seq,word,symbol,tense,paraphrase
01/51,nice,英[nais]美[nais],,a.愉快的；美好的
02/51,green,英[gri:n]美[grin],,a.绿色的n.绿色
03/51,busy,英['bizi]美['bizi],,a.忙碌的
04/51,every,英['evri]美['evri],,a.每个的
05/51,fine,英[fain]美[fain],,a.美好的；健康的
06/51,beautiful,英[bju:tifl]美[bjutfbl],,a.美丽的；极好的
07/51,difficult,英[difiknlt]美[dfi，kAlta],,.难的；不易相处的
08/51,young,英[队m]美[jAg],,a.年轻的
09/51,tired,英[taiod]美[taiord],,a.疲劳的；厌烦的
10/51,strong,英[stmij]美[str”)],,a.强壮的；强烈的
11/51,dear,英[dio(r)]美[dir],,a.亲爱的；贵的
12/51,close,英[kbuz]美[klouz],,a.亲密的ad.靠近vt.关闭
13/51,sunny,英[SAni]美[SAni],,a.晴朗的；阳光充足的
14/51,hot,英[hDt]美[hat],,a.热的
15/51,any,英[eni]美[Yni],,a.任何的pron.任何ad.稍微
16/51,easy,英[i:zi]美[izi],,a.容易的
17/51,angry,英[切gri]美[电)gri],,a.生气的；愤怒的
18/51,late,英[leit]美[let],,a.晚的ad.迟地
19/51,great,英[greit]美[gret],,a.伟大的ad.好极了
20/51,warm,英[wo:m]美[worm],,a.温暖的；热情的
21/51,favourite,英[fbivait]美[fbvont],(美ihvorite),a.喜爱的n.特别喜爱的人或物
22/51,small,英[smo:l]美[smol],,a.小的；少的
23/51,little,英[]美[],(less，least),a.小的；少的ad.很少地n.一点
24/51,new,英[nju:]美[nu],,a.新的
25/51,happy,英[haspi]美[hsepi],,a.幸福的；快乐的
26/51,some,英[s?m]美[SAOI],,a.一些；有些
27/51,English,英[叫叨]美[则川],,a.英国的，英语的n.英语
28/51,ill,英[山]美[刖],,a.有病的；不健康的
29/51,windy,英[windi]美[windi],,a.有风的，多风的
30/51,interesting,英[introstiij]美[intnstig],,a.有趣的
31/51,dirty,英[d3；ti]美[d3rti],,a.脏的
32/51,early,英[3；li]美[13词],,a.早的ad.早地
33/51,long,英[问]美[口血],,a.长的ad.长久
34/51,Chinese,英[，血i'ni:z]美[于u'nani..z],,a.中国的；中国人的；n.中国人；中文
35/51,heavy,英[hevi]美[hevi],,a.重的
36/51,next,英[nekst]美[ngkst],,a.最近的；下一次ad.随后
37/51,left,英[口eft]美[口曲],,a.左边的ad.向左m左边
38/51,why,英[wai]美[hwai],,ad.&int.为什么
39/51,today,英[团dei]美[bde],,ad.&n.今天；当前
40/51,tomorrow,英[匕'nrorno]美[to'marou],,ad.&n.明天
41/51,under,英[Andn(r)]美[nd],,ad.&prep.在下面
42/51,not,英[口词]美[nat],,ad.不；没
43/51,then,英[加n]美[8n],,ad.当时；然后
44/51,much,英[]美[mAtJ],(more，most),ad.非常；更加
45/51,well,英[wel]美[wd],(better，best),ad.好a.好的int.那么
46/51,very,英[veri]美[v£ii],,ad.很，非常
47/51,often,英[Dfh]美[3问],,ad.经常，常常
48/51,slow,英[sbu]美[slou],,ad.慢慢地
49/51,yes,英[Ues]美[麻s],,ad.是:同意
50/51,now,英[nau]美[nau],,ad.现在,
51/51,up,英[Ap]美[Ap],,ad.向上a.上面的n.上升
