seq,word,symbol,tense,paraphrase
01/51,banana,英[bn'nQ：n可]美[bonasno],,n.香蕉
02/51,elephant,英[ehfbnt]美[Wbfbnt],,n.象，大象
03/51,boat,英[bout]美[bout],,n.小船v.乘船
04/51,kid,英[kid]美[kid],,n.小孩
05/51,Miss,英[mis]美[mis],,n.小姐
06/51,hour,英[ag(r)]美[aur],,n.小时
07/51,pupil,英[Pju:pl]美[pjupH],,n.小学生
08/51,shoe,英[M]美[Lfu],,n.鞋子
09/51,star,英[sta:(r)]美[star],,n.星
10/51,Mr.,英[mist。]美[mis⑸],(mister),n.先生
11/51,week,英[wi:k]美[wik],,n.星期，周
12/51,brother,英[b『A6o(r)]美[brA。》],,n.兄，弟
13/51,bear,英[beo(r)]美[ber],,n.熊v.忍受
14/51,panda,英[*pa^ndo]美[psendo],,n.熊猫
15/51,school,英[sku:l]美[skid],,n.学校
16/51,snow,英[snou]美[snou],,n.雪v.下雪
17/51,duck,英[dAk]美[dAk],,n.鸭子
18/51,colour,英[kAb(r)]美[kAl»],(color),n.颜色
19/51,eye,英[⑻]美[⑶],,n.眼睛
20/51,grandfather,英[gnenfh:&)(r)]美[IKgrsend.fada*],(grandpa),n.爷爷：外公
21/51,night,英[nait]美[nait],,n.夜间
22/51,clothes,英[kbo切]美[klo»6z],,n.衣服
23/51,doctor,英[如皿⑻]美[dak匕(r)],,n.医生；博士
24/51,hospital,英[hDspitl]美[haspitl],,n.医院
25/51,chair,英[t|ea(r)]美[t|er],,n.椅子
26/51,art,英[Q：t]美[art],,n.艺术a.艺术的
27/51,music,英[mju:zik]美[mjuzik],,n.音乐，乐曲
28/51,baby,英[bcibi]美[beibi],,n.婴儿
29/51,game,英[geim]美[gem],,n.游戏；比赛
30/51,fish,英[朗]美[mji],,n.鱼v.钓鱼
31/51,rain,英[rem]美[ren],,n.雨v.下雨
32/51,umbrella,英[Am'breb]美[Am'birlo],,n.雨伞
33/51,month,英[mAn盯]美[mAnO],,n.月，月份
34/51,moon,英[mu:n]美[mun],,n.月球：月光
35/51,breakfast,英[brekfbst]美[brekfbst],,n.早餐
36/51,morning,英[]美['momiD],,n.早晨
37/51,photo,英[footoo]美[footoo],(photography),n.照片
38/51,dinner,英[dmn(r)]美[dm],,n.正餐
39/51,juice,英阳4]美[阳闾],,n.汁液
40/51,China,英[加mo]美[胸间],,n.中国；瓷器
41/51,clock,英[kk)k]美[klok],,n.钟
42/51,kind,英[kaind]美[kamd],,n.种：类
43/51,pig,英[p】g]美[pg],,n.猪
44/51,idea,英[aido]美[aidin],,n.主意，想法
45/51,table,英[teibl]美[lebnl],,n.桌子，表格
46/51,bike,英[baik]美[baik],(bicycle),n.自行车
47/51,brown,英[braon]美[braon],,n棕色a.棕色的
48/51,foot,英[fbt]美[fbt],(Mfeet),n.W：英尺
49/51,football,英[fbtbo:l]美[],,n.足球：橄榄球
50/51,mouth,英[ma附美][mao。],,n.嘴
51/51,day,英[de1]美[de],,n.一天；白；天
