id,type,mchoice,ans,title,desc,opa,opb,opc,opd,ope,opf,opg,oph
"meqzp08000","primary","N","B","banana","英[bn'nQ：n可]美[bonasno] ","n.颜色","n.香蕉","n.小姐","n.种：类","","","",""
"meqzp08001","primary","N","D","elephant","英[ehfbnt]美[Wbfbnt] ","n.早晨","n.猪","n.小姐","n.象，大象","","","",""
"meqzp08002","primary","N","D","boat","英[bout]美[bout] ","n.婴儿","n.汁液","n.小姐","n.小船v.乘船","","","",""
"meqzp08003","primary","N","B","kid","英[kid]美[kid] ","n.星期，周","n.小孩","n.小时","n.照片","","","",""
"meqzp08004","primary","N","C","Miss","英[mis]美[mis] ","n.早餐","n.嘴","n.小姐","n.鱼v.钓鱼","","","",""
"meqzp08005","primary","N","B","hour","英[ag(r)]美[aur] ","n.医生；博士","n.小时","n.熊v.忍受","n.月球：月光","","","",""
"meqzp08006","primary","N","B","pupil","英[Pju:pl]美[pjupH] ","n.眼睛","n.小学生","n.兄，弟","n.小姐","","","",""
"meqzp08007","primary","N","A","shoe","英[M]美[Lfu] ","n.鞋子","n.正餐","n.兄，弟","n.中国；瓷器","","","",""
"meqzp08008","primary","N","A","star","英[sta:(r)]美[star] ","n.星","n.小姐","n.桌子，表格","n.自行车","","","",""
"meqzp08009","primary","N","C","Mr.","英[mist。]美[mis⑸] (mister)","n.嘴","n.月，月份","n.先生","n.汁液","","","",""
"meqzp08010","primary","N","D","week","英[wi:k]美[wik] ","n.小孩","n.主意，想法","n.星","n.星期，周","","","",""
"meqzp08011","primary","N","C","brother","英[b『A6o(r)]美[brA。》] ","n.象，大象","n.医院","n.兄，弟","n.小学生","","","",""
"meqzp08012","primary","N","A","bear","英[beo(r)]美[ber] ","n.熊v.忍受","n.照片","n.小时","n.自行车","","","",""
"meqzp08013","primary","N","D","panda","英[*pa^ndo]美[psendo] ","n.椅子","n.自行车","n.小孩","n.熊猫","","","",""
"meqzp08014","primary","N","D","school","英[sku:l]美[skid] ","n.汁液","n.颜色","n.夜间","n.学校","","","",""
"meqzp08015","primary","N","A","snow","英[snou]美[snou] ","n.雪v.下雪","n.游戏；比赛","n.照片","n.夜间","","","",""
"meqzp08016","primary","N","C","duck","英[dAk]美[dAk] ","n.游戏；比赛","n.钟","n.鸭子","n.鞋子","","","",""
"meqzp08017","primary","N","C","colour","英[kAb(r)]美[kAl»] (color)","n.W：英尺","n.主意，想法","n.颜色","n.桌子，表格","","","",""
"meqzp08018","primary","N","A","eye","英[⑻]美[⑶] ","n.眼睛","n.颜色","n.星","n.学校","","","",""
"meqzp08019","primary","N","D","grandfather","英[gnenfh:&)(r)]美[IKgrsend.fada*] (grandpa)","n.鞋子","n.学校","n.种：类","n.爷爷：外公","","","",""
"meqzp08020","primary","N","A","night","英[nait]美[nait] ","n.夜间","n.熊猫","n.星","n.月球：月光","","","",""
"meqzp08021","primary","N","B","clothes","英[kbo切]美[klo»6z] ","n.眼睛","n.衣服","n.照片","n.种：类","","","",""
"meqzp08022","primary","N","B","doctor","英[如皿⑻]美[dak匕(r)] ","n.夜间","n.医生；博士","n.学校","n.艺术a.艺术的","","","",""
"meqzp08023","primary","N","B","hospital","英[hDspitl]美[haspitl] ","n.鸭子","n.医院","n.足球：橄榄球","n.星","","","",""
"meqzp08024","primary","N","C","chair","英[t|ea(r)]美[t|er] ","n.桌子，表格","n棕色a.棕色的","n.椅子","n.月球：月光","","","",""
"meqzp08025","primary","N","A","art","英[Q：t]美[art] ","n.艺术a.艺术的","n.照片","n.雨v.下雨","n.月球：月光","","","",""
"meqzp08026","primary","N","C","music","英[mju:zik]美[mjuzik] ","n.熊v.忍受","n.鞋子","n.音乐，乐曲","n.鸭子","","","",""
"meqzp08027","primary","N","B","baby","英[bcibi]美[beibi] ","n.象，大象","n.婴儿","n.猪","n.一天；白；天","","","",""
"meqzp08028","primary","N","B","game","英[geim]美[gem] ","n.音乐，乐曲","n.游戏；比赛","n.小时","n.爷爷：外公","","","",""
"meqzp08029","primary","N","D","fish","英[朗]美[mji] ","n.雨v.下雨","n.桌子，表格","n.小孩","n.鱼v.钓鱼","","","",""
"meqzp08030","primary","N","A","rain","英[rem]美[ren] ","n.雨v.下雨","n.鞋子","n.兄，弟","n.桌子，表格","","","",""
"meqzp08031","primary","N","B","umbrella","英[Am'breb]美[Am'birlo] ","n.爷爷：外公","n.雨伞","n.婴儿","n.香蕉","","","",""
"meqzp08032","primary","N","C","month","英[mAn盯]美[mAnO] ","n.桌子，表格","n.小时","n.月，月份","n.夜间","","","",""
"meqzp08033","primary","N","A","moon","英[mu:n]美[mun] ","n.月球：月光","n.兄，弟","n.鞋子","n.照片","","","",""
"meqzp08034","primary","N","D","breakfast","英[brekfbst]美[brekfbst] ","n.鸭子","n.夜间","n.中国；瓷器","n.早餐","","","",""
"meqzp08035","primary","N","C","morning","英[]美['momiD] ","n.学校","n.衣服","n.早晨","n.中国；瓷器","","","",""
"meqzp08036","primary","N","A","photo","英[footoo]美[footoo] (photography)","n.照片","n.星","n.颜色","n.衣服","","","",""
"meqzp08037","primary","N","A","dinner","英[dmn(r)]美[dm] ","n.正餐","n棕色a.棕色的","n.雨伞","n.一天；白；天","","","",""
