id,type,mchoice,ans,title,desc,opa,opb,opc,opd,ope,opf,opg,oph
"meqzs30000","senior","N","C","centre","英「sento(r)］ (center)","n.砖：砖块","n.最小值a.最小的","n.中心v.集中;以…为中心","n.成分；作文；组成：作曲","","","",""
"meqzs30001","senior","N","B","category","英「k田匕gori］ ","n.海报；公告","n.种类:范畴","n.尊严；尊贵","n.主席;会长；董事长","","","",""
"meqzs30002","senior","N","C","sort","英［so:t］美［sort］ ","n.足球","n.自由；许可","n.种类;排序V.分类:整理","n.变化;多样：品种","","","",""
"meqzs30003","senior","N","B","variety","英［vo'raioti］ ","n.基金（会），专款v.提供资助","n.变化;多样：品种","n.组成部分；成分a.组成的","n.数量;金额v.共计;等于","","","",""
"meqzs30004","senior","N","A","seed","英［si刈美［sid］ ","n.种子;起源v.播种","n.猪肉","n.钻石；菱形","n.专家:内行a.内行的","","","",""
"meqzs30005","senior","N","A","gravity","英「graevoti］ ","n.重力:引力：重心","n.总数；总合v.总结：概括","n.住房;外壳","n.最小值a.最小的","","","",""
"meqzs30006","senior","N","B","pork","英［po:k］美［pork］ ","n.组织；团体；机构","n.猪肉","n.尊严；尊贵","n.主人;节目主持人V.主办","","","",""
"meqzs30007","senior","N","D","host","英［houst］美［houst］ ","n.尊严；尊贵","n.自助餐","n.成分；作文；组成：作曲","n.主人;节目主持人V.主办","","","",""
"meqzs30008","senior","N","B","chairman","^［yeoman］chairwoman ","n.种类;排序V.分类:整理","n.主席;会长；董事长","n.最大值a.最大的","n.商讨;咨询会：会诊","","","",""
"meqzs30009","senior","N","C","housing","英「haoziij］美［'hauzig］ ","n.设备；装置；手段","n.作者；作家","n.住房;外壳","n.组织；团体；机构","","","",""
"meqzs30010","senior","N","C","accommodation","^［a.kDiTio'dciJh］ ","n.种类:范畴","n.专家:内行a.内行的","n.住宿:食宿：和解","n.总数；总合v.总结：概括","","","",""
"meqzs30011","senior","N","B","pole","英gd］美［pool］ ","n.商讨;咨询会：会诊","n.极点:电极","n.自助餐","n.足踝;踝关节","","","",""
"meqzs30012","senior","N","D","congratulation","英［kong侬tfu'lcij'n］ ","n.基金（会），专款v.提供资助","n.尊严；尊贵","n.商讨;咨询会：会诊","n.祝贺:贺辞","","","",""
"meqzs30013","senior","N","D","specialist","英「sp叫list ","n.钻石；菱形","n.主人;节目主持人V.主办","n.组织；团体；机构","n.专家;专科医生","","","",""
"meqzs30014","senior","N","C","expert","英「eksp3：t］ ","n.种类;排序V.分类:整理","n.最后期限：截止期限","n.专家:内行a.内行的","n.基金（会），专款v.提供资助","","","",""
"meqzs30015","senior","N","A","consultation","英「kDnsl'te巾1］ ","n.商讨;咨询会：会诊","n.资源;财力","n.祝贺:贺辞","n.果酱;拥挤；困境v.阻塞","","","",""
"meqzs30016","senior","N","D","brick","英［bnk］美［bnk］ ","n.足球","n.成分；作文；组成：作曲","n.循环:周期v.骑自行车","n.砖：砖块","","","",""
"meqzs30017","senior","N","B","dignity","英「dignoti］美［dgn凯i］ ","n.专家:内行a.内行的","n.尊严；尊贵","n.主席;会长；董事长","n.猪肉","","","",""
"meqzs30018","senior","N","C","device","英［di'vais］美［do'vais］ ","n.主人;节目主持人V.主办","n.足踝;踝关节","n.设备；装置；手段","n.祖宗；祖先","","","",""
"meqzs30019","senior","N","C","tension","英「tenjh］美［&mn］ ","n.最后期限：截止期限","n.专家;专科医生","n.紧张；张力V.拉紧","n.姿势v.造成；摆姿势","","","",""
"meqzs30020","senior","N","B","pose","英［pouz］美［pouz］ ","n.重力:引力：重心","n.姿势v.造成；摆姿势","n.专家;专科医生","n.果酱;拥挤；困境v.阻塞","","","",""
"meqzs30021","senior","N","B","qualification","英LkwDhfi'kciJn］ ","n.极点:电极","n.资格，资格赛；条件；合格证","n.自由：自主","n.基金（会），专款v.提供资助","","","",""
"meqzs30022","senior","N","A","fund","英［fXnd］美［fXnd］ ","n.基金（会），专款v.提供资助","n.住宿:食宿：和解","n.数量;金额v.共计;等于","n.自助餐厅；食堂","","","",""
"meqzs30023","senior","N","C","resource","英「rso:s］美［「rsnrs］ ","n.果酱;拥挤；困境v.阻塞","n.设备；装置；手段","n.资源;财力","n.种类;排序V.分类:整理","","","",""
"meqzs30024","senior","N","D","flavour","英［fleivo］美［flew］ (flavor)","n.海报；公告","n.庄稼；收成v.种庄稼;收成","n.最大值a.最大的","n.滋味;风味；风情","","","",""
"meqzs30025","senior","N","C","cycle","英「saikl］美［saikol］ ","n.祝贺:贺辞","n.猪肉","n.循环:周期v.骑自行车","n.尊严；尊贵","","","",""
"meqzs30026","senior","N","A","liberty","英「hboti］美「hborti］ ","n.自由；许可","num.&n.百万a.百万的","n.钻石；菱形","n.滋味;风味；风情","","","",""
"meqzs30027","senior","N","C","freedom","英「仔i:dom］美「Gicbm］ ","n.主人;节目主持人V.主办","n.组成部分；成分a.组成的","n.自由：自主","n.专家:内行a.内行的","","","",""
"meqzs30028","senior","N","C","buffet","英「bo㈣美［bo'fbi］ ","n.足球","n.商讨;咨询会：会诊","n.自助餐","n.最大值a.最大的","","","",""
"meqzs30029","senior","N","D","cafeteria","英［k任必'tiori。］ ","n.专家:内行a.内行的","n.资源;财力","n.住房;外壳","n.自助餐厅；食堂","","","",""
"meqzs30030","senior","N","A","sum","英［sAm］美［sAm］ ","n.总数；总合v.总结：概括","n.足踝;踝关节","n.资源;财力","n.海报；公告","","","",""
"meqzs30031","senior","N","D","amount","英［o'maunl］美归'maontnv］ ","n.自助餐厅；食堂","n.最小值a.最小的","n.设备；装置；手段","n.数量;金额v.共计;等于","","","",""
"meqzs30032","senior","N","B","ankle","英「则kl］美［刻koi］ ","n.专家:内行a.内行的","n.足踝;踝关节","n.尊严；尊贵","n.极点:电极","","","",""
"meqzs30033","senior","N","A","soccer","英「sDko(r)］美］sQko(r)］ ","n.足球","num.&n.百万a.百万的","n.自助餐厅；食堂","n.成分；作文；组成：作曲","","","",""
"meqzs30034","senior","N","A","jam","英［d^sem］美［d3&m］ ","n.果酱;拥挤；困境v.阻塞","n.商讨;咨询会：会诊","n.循环:周期v.骑自行车","n.总数；总合v.总结：概括","","","",""
"meqzs30035","senior","N","B","component","央［kompoonont］ ","n.果酱;拥挤；困境v.阻塞","n.组成部分；成分a.组成的","n.设备；装置；手段","n.基金（会），专款v.提供资助","","","",""
"meqzs30036","senior","N","B","organisation","美［k0mpounsnt］ (organization)","n.庄稼；收成v.种庄稼;收成","n.组织；团体；机构","n.极点:电极","n.最后期限：截止期限","","","",""
"meqzs30037","senior","N","A","ancestor","^［.oigonai'zeijh］ ","n.祖宗；祖先","n.海报；公告","n.资格，资格赛；条件；合格证","n.住宿:食宿：和解","","","",""
"meqzs30038","senior","N","B","diamond","英「daiomond］ ","n.祖宗；祖先","n.钻石；菱形","n.庄稼；收成v.种庄稼;收成","n.砖：砖块","","","",""
"meqzs30039","senior","N","D","maximum","英「mseksimom］ ","n.循环:周期v.骑自行车","num.&n.百万a.百万的","n.果酱;拥挤；困境v.阻塞","n.最大值a.最大的","","","",""
"meqzs30040","senior","N","C","deadline","英「dedlam］ ","n.极点:电极","n.砖：砖块","n.最后期限：截止期限","n.祖宗；祖先","","","",""
"meqzs30041","senior","N","B","minimum","英「minimnm］ ","n.重力:引力：重心","n.最小值a.最小的","n.组成部分；成分a.组成的","n.最大值a.最大的","","","",""
"meqzs30042","senior","N","D","crime","英［kraim］美［kraim］ ","n.组织；团体；机构","n.自由：自主","n.庄稼；收成v.种庄稼;收成","n.罪行；犯罪","","","",""
"meqzs30043","senior","N","C","composition","［.knmps'zijh］ ","n.砖：砖块","n.海报；公告","n.成分；作文；组成：作曲","n.种类:范畴","","","",""
"meqzs30044","senior","N","D","crop","英［krop］美［krap］ ","n.自由；许可","n.极点:电极","n.钻石；菱形","n.庄稼；收成v.种庄稼;收成","","","",""
"meqzs30045","senior","N","C","author","英「。:0。（叨美「加］ ","n.果酱;拥挤；困境v.阻塞","n.商讨;咨询会：会诊","n.作者；作家","n.住宿:食宿：和解","","","",""
"meqzs30046","senior","N","D","poster","英［'85匕（叨 ","n.自助餐","n.数量;金额v.共计;等于","n.成分；作文；组成：作曲","n.海报；公告","","","",""
"meqzs30047","senior","N","B","billion","英「biljon］美［bljon］ ","num.&n.百万a.百万的","num.&n.1亿a.十亿的","n.循环:周期v.骑自行车","n.数量;金额v.共计;等于","","","",""
"meqzs30048","senior","N","C","million","英「miljon］美［miljon］ ","n.钻石；菱形","n.足踝;踝关节","num.&n.百万a.百万的","n.姿势v.造成；摆姿势","","","",""
"meqzs30049","senior","N","B","n.中心v.集中;以…为中心","英「sento(r)］ (center)","amount","centre","freedom","pose","","","",""
"meqzs30050","senior","N","A","n.种类:范畴","英「k田匕gori］ ","category","crime","resource","ancestor","","","",""
"meqzs30051","senior","N","C","n.种类;排序V.分类:整理","英［so:t］美［sort］ ","dignity","brick","sort","tension","","","",""
"meqzs30052","senior","N","B","n.变化;多样：品种","英［vo'raioti］ ","dignity","variety","sum","organisation","","","",""
"meqzs30053","senior","N","B","n.种子;起源v.播种","英［si刈美［sid］ ","buffet","seed","pose","device","","","",""
"meqzs30054","senior","N","C","n.重力:引力：重心","英「graevoti］ ","composition","consultation","gravity","pork","","","",""
"meqzs30055","senior","N","B","n.猪肉","英［po:k］美［pork］ ","composition","pork","centre","crop","","","",""
"meqzs30056","senior","N","A","n.主人;节目主持人V.主办","英［houst］美［houst］ ","host","seed","author","amount","","","",""
"meqzs30057","senior","N","D","n.主席;会长；董事长","^［yeoman］chairwoman ","deadline","jam","diamond","chairman","","","",""
"meqzs30058","senior","N","D","n.住房;外壳","英「haoziij］美［'hauzig］ ","composition","specialist","accommodation","housing","","","",""
"meqzs30059","senior","N","A","n.住宿:食宿：和解","^［a.kDiTio'dciJh］ ","accommodation","specialist","dignity","soccer","","","",""
"meqzs30060","senior","N","D","n.极点:电极","英gd］美［pool］ ","component","flavour","soccer","pole","","","",""
"meqzs30061","senior","N","D","n.祝贺:贺辞","英［kong侬tfu'lcij'n］ ","crime","pole","sort","congratulation","","","",""
"meqzs30062","senior","N","D","n.专家;专科医生","英「sp叫list ","pole","buffet","flavour","specialist","","","",""
"meqzs30063","senior","N","B","n.专家:内行a.内行的","英「eksp3：t］ ","flavour","expert","dignity","diamond","","","",""
"meqzs30064","senior","N","A","n.商讨;咨询会：会诊","英「kDnsl'te巾1］ ","consultation","device","congratulation","crop","","","",""
"meqzs30065","senior","N","B","n.砖：砖块","英［bnk］美［bnk］ ","housing","brick","buffet","sum","","","",""
"meqzs30066","senior","N","A","n.尊严；尊贵","英「dignoti］美［dgn凯i］ ","dignity","liberty","pork","sort","","","",""
"meqzs30067","senior","N","A","n.设备；装置；手段","英［di'vais］美［do'vais］ ","device","sum","composition","gravity","","","",""
"meqzs30068","senior","N","B","n.紧张；张力V.拉紧","英「tenjh］美［&mn］ ","specialist","tension","cycle","million","","","",""
"meqzs30069","senior","N","A","n.姿势v.造成；摆姿势","英［pouz］美［pouz］ ","pose","resource","chairman","ankle","","","",""
"meqzs30070","senior","N","D","n.资格，资格赛；条件；合格证","英LkwDhfi'kciJn］ ","cafeteria","accommodation","pork","qualification","","","",""
"meqzs30071","senior","N","A","n.基金（会），专款v.提供资助","英［fXnd］美［fXnd］ ","fund","diamond","specialist","component","","","",""
"meqzs30072","senior","N","C","n.资源;财力","英「rso:s］美［「rsnrs］ ","freedom","pole","resource","billion","","","",""
"meqzs30073","senior","N","D","n.滋味;风味；风情","英［fleivo］美［flew］ (flavor)","variety","component","organisation","flavour","","","",""
"meqzs30074","senior","N","C","n.循环:周期v.骑自行车","英「saikl］美［saikol］ ","freedom","accommodation","cycle","consultation","","","",""
"meqzs30075","senior","N","A","n.自由；许可","英「hboti］美「hborti］ ","liberty","host","qualification","deadline","","","",""
"meqzs30076","senior","N","C","n.自由：自主","英「仔i:dom］美「Gicbm］ ","maximum","ancestor","freedom","liberty","","","",""
"meqzs30077","senior","N","D","n.自助餐","英「bo㈣美［bo'fbi］ ","liberty","amount","variety","buffet","","","",""
