id,type,mchoice,ans,title,desc,opa,opb,opc,opd,ope,opf,opg,oph
"meqzj11000","junior","N","A","anyone","英「cniwAn］ ","pron.任何人，无论谁","num.&n.五十","num.&pron.&n.一，一个","pron.一个都没有，没人","","","",""
"meqzj11001","junior","N","A","anybody","英「enibDdi］ ","pron.任何人，无论谁","pron.她自己，她本人","num.&n.三","num.&n.第十二","","","",""
"meqzj11002","junior","N","D","themselves","英「enibDdi］美［女m'swlvz］ ","pron.他自己，他本人","num.&n.第三","num.&n.十","pron.他（她;它）们自己","","","",""
"meqzj11003","junior","N","B","himself","英［himself］ ","pron.我们的（所有物）","pron.他自己，他本人","num.&n.第十二","num.&n.十","","","",""
"meqzj11004","junior","N","D","itself","英［it'self］美［it'sdf］ ","num.&n.一百","num.&n・六","pron.她自己，她本人","pron.它自己","","","",""
"meqzj11005","junior","N","C","hers","英［h3：z］美［h3⑵ ","pron.他（她;它）们自己","pron.我们自己","pron.她的","pron.任何人，无论谁","","","",""
"meqzj11006","junior","N","A","herself","英［h3：'self］ ","pron.她自己，她本人","num.&n.第十二","num.&n.第五","pron.任何人，无论谁","","","",""
"meqzj11007","junior","N","D","ours","英「aooz］美「aoorz］ ","num.&n.十四","pron.他（她;它）们自己","num.&n.第九","pron.我们的（所有物）","","","",""
"meqzj11008","junior","N","A","yours","英［jo：z］美［jo⑵ ","pron.你（们）的（所有物）","pron•我的（所有物）n.矿井","num.&n.三十","num.&n，二","","","",""
"meqzj11009","junior","N","C","mine","英［main］美［main］ ","num.&n.四十","num.&n.十六","pron•我的（所有物）n.矿井","num.&n.五","","","",""
"meqzj11010","junior","N","C","ourselves","英［cu'selvz］ ","num.&n，一~匕","pron.我自己","pron.我们自己","num.&n•七","","","",""
"meqzj11011","junior","N","A","myself","英［mai'self］ ","pron.我自己","num.第一ad.第一次;最先n.起初","num.&n.十","num.&n.四十","","","",""
"meqzj11012","junior","N","A","none","英［HAH］美［nAn］ ","pron.一个都没有，没人","num.&n，一~匕","num.&n.二十","num.&n.十五","","","",""
"meqzj11013","junior","N","A","first","英「hAndmd］ ","num.第一ad.第一次;最先n.起初","pron.我自己","pron.一个都没有，没人","num.&n.十六","","","",""
"meqzj11014","junior","N","A","hundred","英「hAndmd］ ","num.&n.一百","num.&n.十六","num.&n.第七","num.&n.七十","","","",""
"meqzj11015","junior","N","D","eight","英［eit］美［et］ ","num.&n.U!","pron•我的（所有物）n.矿井","n.&num.零；零度","num.&n.八","","","",""
"meqzj11016","junior","N","A","eighty","英［上叫美「eti］ ","num.&n.八十","num.&n.九","num.&n.一百","pron.它自己","","","",""
"meqzj11017","junior","N","C","eighth","英［eit。］美［et。，e9n］ ","num.&n，一~匕","pron.它自己","num.&n.第八","pron•我的（所有物）n.矿井","","","",""
"meqzj11018","junior","N","C","twentieth","英『twentio。］ ","num.&pron.&n.一，一个","num.&n・六","num.&n.第二十","num.&n.九十","","","",""
"meqzj11019","junior","N","A","ninth","英［nam。］美［nainO］ ","num.&n.第九","num.&n，一~匕","pron.任何人，无论谁","pron.我们的（所有物）","","","",""
"meqzj11020","junior","N","D","sixth","英，依即美［siksO］ ","num.&n.六一","num.&n.五","num.&n.十","num.&n.第六","","","",""
"meqzj11021","junior","N","A","seventh","英［sevn。］ ","num.&n.第七","num.&n.十五","num.&n.第三","pron.她自己，她本人","","","",""
"meqzj11022","junior","N","C","third","英［ten。］ ","num.&n.十九","num.&n.六一","num.&n.第三","num.&n，二","","","",""
"meqzj11023","junior","N","A","tenth","英［ten。］美［Un0］ ","num.&n.第一卜","pron.你（们）的（所有物）","num.&n.十六","num.&n，一~匕","","","",""
"meqzj11024","junior","N","D","twelfth","英［twelfO］美［tw目笛］ ","pron.任何人，无论谁","num.&n.十四","pron.我自己","num.&n.第十二","","","",""
"meqzj11025","junior","N","A","fourth","英美［fbrO］ ","num.&n.第四","pron.她自己，她本人","num.&n.五十","num.&n，二","","","",""
"meqzj11026","junior","N","B","fifth","英［fifD］美［fifQ］ ","num.&n.第三","num.&n.第五","num.&n.六一","pron.她自己，她本人","","","",""
"meqzj11027","junior","N","A","two","英皿:］美［tu］ ","num.&n，二","num.&n.第四","pron.她自己，她本人","pron.任何人，无论谁","","","",""
"meqzj11028","junior","N","B","twenty","英［'twenti］美［'twEnntui］ ","num.&n.九十","num.&n.二十","num.&n.五","num.&n.三","","","",""
"meqzj11029","junior","N","A","nine","英［nain］美［nam］ ","num.&n.九","num.&n.十三","pron.她的","num.&n.二十","","","",""
"meqzj11030","junior","N","A","ninety","英「namti］美「namti］ ","num.&n.九十","num.&n.二十","num.&n.十八","pron.任何人，无论谁","","","",""
"meqzj11031","junior","N","A","six","英［siks］美［siks］ ","num.&n・六","pron.我们自己","num.&n.第八","pron•我的（所有物）n.矿井","","","",""
"meqzj11032","junior","N","A","sixty","英「siksti］美「siksti］ ","num.&n.六一","pron.任何人，无论谁","num.&n.五十","num.&n.十六","","","",""
"meqzj11033","junior","N","B","seven","英［sevn］美［sevon］ ","pron.我们的（所有物）","num.&n•七","pron.她的","num.&n.第一卜","","","",""
"meqzj11034","junior","N","B","seventy","英「sevnti］ ","pron.他（她;它）们自己","num.&n.七十","n.&num.零；零度","num.&n.三","","","",""
"meqzj11035","junior","N","A","three","英［Ori:］美［Ori］ ","num.&n.三","num.&n•七","num.&n.十","num.&n.十四","","","",""
"meqzj11036","junior","N","C","thirty","英「03：可美「的叫 ","pron.任何人，无论谁","num.&n.九十","num.&n.三十","num.&n.第七","","","",""
"meqzj11037","junior","N","D","ten","英［ten］美［忆川 ","num.&n•七","num.&pron.&n.一，一个","num.&n.十六","num.&n.十","","","",""
"meqzj11038","junior","N","B","eighteen","英美［e'tin］ ","pron.他自己，他本人","num.&n.十八","num.&n.第十二","num.&pron.&n.一，一个","","","",""
"meqzj11039","junior","N","D","twelve","英［twelv］美［twclv］ ","pron.一个都没有，没人","num.&n.三十","num.&pron.&n.一，一个","num.&n.十二","","","",""
"meqzj11040","junior","N","C","nineteen","英［，nain'ti:n］ ","num.&n，一~匕","num.&n.第二十","num.&n.十九","num.&n.第五","","","",""
"meqzj11041","junior","N","D","sixteen","美［nain'tin］ ","num.&n.十八","num.&n.一百","pron.任何人，无论谁","num.&n.十六","","","",""
"meqzj11042","junior","N","B","seventeen","英］siks'tim］ ","num.&n.六一","num.&n，一~匕","n.&num.零；零度","pron.她的","","","",""
"meqzj11043","junior","N","B","thirteen","美［sik'stin］ ","num.&n.七十","num.&n.十三","num.&n.五","pron.他（她;它）们自己","","","",""
"meqzj11044","junior","N","A","fourteen","英Lsevn'ti:n］ ","num.&n.十四","num.&n.十二","num.&n.一百","pron.你（们）的（所有物）","","","",""
"meqzj11045","junior","N","B","fifteen","英［ff't洞美［fiftin］ ","num.&n•七","num.&n.十五","num.&n.第二十","num.&n.第十二","","","",""
"meqzj11046","junior","N","A","eleven","英［i'levn］美［i'levan］ ","num.&n.十一","pron.任何人，无论谁","pron.他自己，他本人","num.&n，一~匕","","","",""
"meqzj11047","junior","N","B","four","英［①:⑺］美［fbr，for］ ","num.&n.第一卜","num.&n.U!","num.&n.第三","num.&n.十九","","","",""
"meqzj11048","junior","N","C","forty","英「美［fbrti］ ","num.&n.三","num.&n.十六","num.&n.四十","num.&n.十九","","","",""
"meqzj11049","junior","N","C","five","英［fhiv］美［fhiv］ ","num.&n.第二十","pron•我的（所有物）n.矿井","num.&n.五","num.&n.十一","","","",""
"meqzj11050","junior","N","B","fifty","英闻美［方的 ","num.&n.十九","num.&n.五十","pron.我们的（所有物）","num.&n.十六","","","",""
"meqzj11051","junior","N","C","one","英［wAn］美［WAD］ ","num.&n.十","num.&n.三十","num.&pron.&n.一，一个","pron.一个都没有，没人","","","",""
"meqzj11052","junior","N","A","zero","英「znroo］美「zirou］ ","n.&num.零；零度","num.&n.第八","num.第一ad.第一次;最先n.起初","num.&n.三十","","","",""
"meqzj11053","junior","N","C","pron.任何人，无论谁","英「cniwAn］ ","fourteen","two","anyone","twelfth","","","",""
"meqzj11054","junior","N","A","pron.任何人，无论谁","英「enibDdi］ ","anybody","twenty","sixteen","twentieth","","","",""
"meqzj11055","junior","N","B","pron.他（她;它）们自己","英「enibDdi］美［女m'swlvz］ ","none","themselves","eighth","eighteen","","","",""
"meqzj11056","junior","N","A","pron.他自己，他本人","英［himself］ ","himself","five","ours","twentieth","","","",""
"meqzj11057","junior","N","C","pron.它自己","英［it'self］美［it'sdf］ ","myself","eighteen","itself","fifth","","","",""
"meqzj11058","junior","N","B","pron.她的","英［h3：z］美［h3⑵ ","ourselves","hers","seven","themselves","","","",""
"meqzj11059","junior","N","B","pron.她自己，她本人","英［h3：'self］ ","zero","herself","none","ten","","","",""
"meqzj11060","junior","N","D","pron.我们的（所有物）","英「aooz］美「aoorz］ ","herself","themselves","anyone","ours","","","",""
"meqzj11061","junior","N","D","pron.你（们）的（所有物）","英［jo：z］美［jo⑵ ","thirteen","twelve","eighty","yours","","","",""
"meqzj11062","junior","N","B","pron•我的（所有物）n.矿井","英［main］美［main］ ","two","mine","one","eighth","","","",""
"meqzj11063","junior","N","B","pron.我们自己","英［cu'selvz］ ","thirty","ourselves","eighty","nine","","","",""
"meqzj11064","junior","N","D","pron.我自己","英［mai'self］ ","ten","seventy","anybody","myself","","","",""
"meqzj11065","junior","N","A","pron.一个都没有，没人","英［HAH］美［nAn］ ","none","myself","two","mine","","","",""
"meqzj11066","junior","N","D","num.第一ad.第一次;最先n.起初","英「hAndmd］ ","ourselves","four","eighteen","first","","","",""
"meqzj11067","junior","N","A","num.&n.一百","英「hAndmd］ ","hundred","seventeen","yours","twelve","","","",""
"meqzj11068","junior","N","D","num.&n.八","英［eit］美［et］ ","hers","hundred","eighty","eight","","","",""
"meqzj11069","junior","N","A","num.&n.八十","英［上叫美「eti］ ","eighty","ourselves","sixth","fourteen","","","",""
"meqzj11070","junior","N","A","num.&n.第八","英［eit。］美［et。，e9n］ ","eighth","herself","six","itself","","","",""
"meqzj11071","junior","N","C","num.&n.第二十","英『twentio。］ ","eighth","seventh","twentieth","fourth","","","",""
"meqzj11072","junior","N","D","num.&n.第九","英［nam。］美［nainO］ ","twelfth","seven","ourselves","ninth","","","",""
"meqzj11073","junior","N","A","num.&n.第六","英，依即美［siksO］ ","sixth","fifteen","twelve","eleven","","","",""
"meqzj11074","junior","N","C","num.&n.第七","英［sevn。］ ","zero","hers","seventh","seven","","","",""
"meqzj11075","junior","N","D","num.&n.第三","英［ten。］ ","thirty","ours","herself","third","","","",""
"meqzj11076","junior","N","B","num.&n.第一卜","英［ten。］美［Un0］ ","fourteen","tenth","seventeen","forty","","","",""
"meqzj11077","junior","N","C","num.&n.第十二","英［twelfO］美［tw目笛］ ","eleven","ninety","twelfth","none","","","",""
"meqzj11078","junior","N","B","num.&n.第四","英美［fbrO］ ","thirty","fourth","zero","themselves","","","",""
"meqzj11079","junior","N","C","num.&n.第五","英［fifD］美［fifQ］ ","third","hers","fifth","anyone","","","",""
"meqzj11080","junior","N","D","num.&n，二","英皿:］美［tu］ ","nineteen","hers","ourselves","two","","","",""
"meqzj11081","junior","N","D","num.&n.二十","英［'twenti］美［'twEnntui］ ","yours","seventy","nineteen","twenty","","","",""
"meqzj11082","junior","N","A","num.&n.九","英［nain］美［nam］ ","nine","two","sixth","four","","","",""
"meqzj11083","junior","N","C","num.&n.九十","英「namti］美「namti］ ","none","fourteen","ninety","herself","","","",""
"meqzj11084","junior","N","D","num.&n・六","英［siks］美［siks］ ","fifty","itself","eighteen","six","","","",""
"meqzj11085","junior","N","C","num.&n.六一","英「siksti］美「siksti］ ","six","thirty","sixty","sixth","","","",""
"meqzj11086","junior","N","A","num.&n•七","英［sevn］美［sevon］ ","seven","seventeen","seventh","himself","","","",""
